speaker,script,position1,function1,position2,function2,match,agreement,corpus
*DAN:,Eventually,,,,,,,sbcsae
,,,,,,,,sbcsae
*LUCY:,But it's amazing,TI,T4,TI,T4,MATCH,T4,sbcsae
*LUCY:,And they've done,,,,,,,sbcsae
*AL:,So they all done now,,,,,,,sbcsae
*LUCY:,my whole neighborhood,,,,,,,sbcsae
*LUCY:,Well no,,,,,,,sbcsae
,because they ordered the wrong storm doors,,,,,,,sbcsae
*LUCY:,They ordered the wrong color,,,,,,,sbcsae
*LUCY:,So they had to bring those back,,,,,,,sbcsae
,and reorder the white ones,,,,,,,sbcsae
*LUCY:,Um,,,,,,,sbcsae
,cause they brought black by mistake,,,,,,,sbcsae
*AL:,but that's the only thing they got left to do,TI,T4,TI,T4,MATCH,T4,sbcsae
*LUCY:,uh I think they finished the painting,,,,,,,sbcsae
*AL:,Why what were they paint,,,,,,,sbcsae
*LUCY:,Well they put new walls in the living room,,,,,,,sbcsae
*LUCY:,Soundproof walls on the outside of,,,,,,,sbcsae
,of the house,,,,,,,sbcsae
*LUCY:,And,,,,,,,sbcsae
,we have double windows now in the living room,,,,,,,sbcsae
*AL:,On the outside of the house,,,,,,,sbcsae
*LUCY:,No,,,,,,,sbcsae
*LUCY:,Oh,,,,,,,sbcsae
,that was good Dad,,,,,,,sbcsae
*JOHN:,At least it's not a seagull,,,,,,,sbcsae
*ANNE:,,,,,,,,sbcsae
*LUCY:,,,,,,,,sbcsae
*ANNE:,,,,,,,,sbcsae
*JOHN:,I,,,,,,,sbcsae
*LUCY:,But it look s like it John,TI,I1,TI,T1,UNMATCH,I1,sbcsae
*JOHN:,That,,,,,,,sbcsae
*JOHN:,that's edible,,,,,,,sbcsae
*JOHN:,I was afraid th a seagull got me,,,,,,,sbcsae
*LUCY:,,,,,,,,sbcsae
*ALLE:,l Boy,,,,,,,sbcsae
,oh,,,,,,,sbcsae
*LUCY:,,,,,,,,sbcsae
*ANNE:,,,,,,,,sbcsae
*AL:,Mess up poor John,,,,,,,sbcsae
*LUCY:,,,,,,,,sbcsae
,They did paint the trim on the outside of the house,,,,,,,sbcsae
*JOHN:,Oh now,,,,,,,sbcsae
,We'll get a napkin,,,,,,,sbcsae
*LIND:,No,,,,,,,sbcsae
*LIND:,No,,,,,,,sbcsae
*LIND:,No,,,,,,,sbcsae
,no,,,,,,,sbcsae
*JOHN:,Oh,,,,,,,sbcsae
*LIND:,Al,,,,,,,sbcsae
*JOHN:,no,,,,,,,sbcsae
,we'll get a napkin somewhere,,,,,,,sbcsae
,don't worry about it,,,,,,,sbcsae
*LIND:,Hm laugh,,,,,,,sbcsae
*ALLE:,,,,,,,,sbcsae
*JOHN:,It's me,,,,,,,sbcsae
*LUCY:,There was a whole bunch of them,,,,,,,sbcsae
*ANNE:,What did he do,,,,,,,sbcsae
,spit on him,,,,,,,sbcsae
*JOHN:,This,,,,,,,sbcsae
*JOHN:,This is,,,,,,,sbcsae
*ANNE:,What'd you do,,,,,,,sbcsae
*DAN:,Nah he just dropped some uh,,,,,,,sbcsae
*ANNE:,spit on him,,,,,,,sbcsae
*LUCY:,No,,,,,,,sbcsae
,he dr,,,,,,,sbcsae
*LUCY:,he dropped Sa,,,,,,,sbcsae
*JOHN:,This isn't here,,,,,,,sbcsae
*LUCY:,dressing all over John's pants,,,,,,,sbcsae
*ANNE:,,,,,,,,sbcsae
*DAN:,Sauce on it,,,,,,,sbcsae
*JOHN:,It's just me,,,,,,,sbcsae
*ANNE:,,,,,,,,sbcsae
*LUCY:,,,,,,,,sbcsae
*JOHN:,You know ,,,,,,,sbcsae
*LUCY:,,,,,,,,sbcsae
*JOHN:,coffee stains on the shirt,,,,,,,sbcsae
*LUCY:,,,,,,,,sbcsae
*DAN:,,,,,,,,sbcsae
*LUCY:,This is the guy that we thought had one outfit Annette,,,,,,,sbcsae
*JOHN:,,,,,,,,sbcsae
*DAN:,John likes it,,,,,,,sbcsae
,gives it character,,,,,,,sbcsae
*ANNE:,,,,,,,,sbcsae
*LUCY:,for three years laugh,,,,,,,sbcsae
