speaker,script,position1,function1,position2,function2,match,agreement,corpus
,until you looked in his suitcase,,,,,,,sbcsae
*JOHN:,Yeah,,,,,,,sbcsae
*DAN:,Gives the pants character,,,,,,,sbcsae
*LUCY:,,,,,,,,sbcsae
*JOHN:,Oh,,,,,,,sbcsae
*LUCY:,,,,,,,,sbcsae
*ANNE:,Leave him alone,,,,,,,sbcsae
*ANNE:,He's got a toothache,,,,,,,sbcsae
*LUCY:,,,,,,,,sbcsae
*DAN:,You can't talk,,,,,,,sbcsae
,if you're not gonna sign my form,,,,,,,sbcsae
*ANNE:,Oh laugh,,,,,,,sbcsae
*LUCY:,Geez,,,,,,,sbcsae
,I remember a time when,,,,,,,sbcsae
*JOHN:,I tell you,,,,,,,sbcsae
,I feel better already,,,,,,,sbcsae
*LUCY:,John's shirts were all cranberry,,,,,,,sbcsae
*JOHN:,just listening to those guys,,,,,,,sbcsae
,putting those windows in in one afternoon,,,,,,,sbcsae
*LUCY:,,,,,,,,sbcsae
*ANNE:,And his socks all had double stripes,,,,,,,sbcsae
*JOHN:,I say,,,,,,,sbcsae
,better them than me,,,,,,,sbcsae
*LUCY:,I know it,,,,,,,sbcsae
*AL:,I know that feeling,,,,,,,sbcsae
*LUCY:,Oh,,,,,,,sbcsae
*JOHN:,Yigads,,,,,,,sbcsae
*LUCY:,But they paint,TI,T4,TI,T4,MATCH,T4,sbcsae
*ALLE:,That's like anything,,,,,,,sbcsae
*LUCY:,they painted the inside the wrong color,,,,,,,sbcsae
*LUCY:,We had ordered this,,,,,,,sbcsae
*LIND:,Well you got it on John,,,,,,,sbcsae
*LUCY:,Um,,,,,,,sbcsae
*ALLE:,Well laugh,,,,,,,sbcsae
*JOHN:,,,,,,,,sbcsae
*LUCY:,like an eggshell color,,,,,,,sbcsae
*LUCY:,Be,,,,,,,sbcsae
*JOHN:,Thank you Linda,,,,,,,sbcsae
*LUCY:,the color that we had the woodwork in the dining room,,,,,,,sbcsae
*ANNE:,,,,,,,,sbcsae
*LUCY:,Similar to that,,,,,,,sbcsae
*AL:,That's good,,,,,,,sbcsae
*LUCY:,Was on their list of colors you could use,,,,,,,sbcsae
*AL:,,,,,,,,sbcsae
,hm,,,,,,,sbcsae
*LUCY:,So that's the color,,,,,,,sbcsae
*LIND:,,,,,,,,sbcsae
*LUCY:,We h,,,,,,,sbcsae
*AL:,,,,,,,,sbcsae
*LUCY:,wanted them to paint the inside trim of the new door they put on,,,,,,,sbcsae
*LUCY:,The,,,,,,,sbcsae
*LUCY:,the h,,,,,,,sbcsae
*LUCY:,l,,,,,,,sbcsae
*LIND:,,,,,,,,sbcsae
,,,,,,,,sbcsae
*LUCY:,But they'd brought the wrong color paint,TI,T1,TI,T1,MATCH,T1,sbcsae
,so they painted it white the first day,,,,,,,sbcsae
*X:,,,,,,,,sbcsae
*LUCY:,and the guy,,,,,,,sbcsae
*LUCY:,Pat said he came in,,,,,,,sbcsae
,he had been at unemployment,,,,,,,sbcsae
,when he came back,,,,,,,sbcsae
,he said,,,,,,,sbcsae
,the guy said to him,,,,,,,sbcsae
,l oh my God,,,,,,,sbcsae
,we painted it the wrong color,,,,,,,sbcsae
*LUCY:,I just realized it,,,,,,,sbcsae
*LUCY:,Don't worry,,,,,,,sbcsae
,we'll be back tomorrow,,,,,,,sbcsae
*LUCY:,They came back the next day,,,,,,,sbcsae
,put two more l coats of paint on,,,,,,,sbcsae
,the right color,,,,,,,sbcsae
*LUCY:,,,,,,,,sbcsae
*JOHN:,Mm,,,,,,,sbcsae
*ANNE:,Good work ers,,,,,,,sbcsae
*LUCY:,But they stained the doors,TI,T1,TI,T1,MATCH,T1,sbcsae
*ALLE:,Yeah but the longer they're there,UI,T4,UI,I1,UNMATCH,T4,sbcsae
*LUCY:,and polyurethaned them,,,,,,,sbcsae
,and every,,,,,,,sbcsae
*AL:,So what did they do,,,,,,,sbcsae
*ALLE:,You gotta realize,,,,,,,sbcsae
,the longer they're there,,,,,,,sbcsae
,the longer their job'll last,,,,,,,sbcsae
*LUCY:,Well,,,,,,,sbcsae
,no,,,,,,,sbcsae
,but they,UI,I1,UI,I1,MATCH,I1,sbcsae
*LUCY:,it's done,,,,,,,sbcsae
*LUCY:,it's a money basis,,,,,,,sbcsae
*LUCY:,They get paid,,,,,,,sbcsae
,It's it's a,,,,,,,sbcsae
*DAN:,They get paid per job,,,,,,,sbcsae
*LUCY:,it was a contract bid,,,,,,,sbcsae
,so they get paid per job,,,,,,,sbcsae
*ALLE:,Yeah,,,,,,,sbcsae
,but I imagine,UI,I1,UI,T1,UNMATCH,T4,sbcsae
,I imagine they also have a little thing called cost plus,,,,,,,sbcsae
*LUCY:,Oh,,,,,,,sbcsae
,well probably,,,,,,,sbcsae
*JOHN:,Yeah,,,,,,,sbcsae
*LUCY:,they probably do,,,,,,,sbcsae
*LUCY:,But,UI,I2,UI,I2,MATCH,I2,sbcsae
,yeah,,,,,,,sbcsae
*ALLE:,They don't do anything for the government,,,,,,,sbcsae
,unless it's cost plus,,,,,,,sbcsae
*LUCY:,No,,,,,,,sbcsae
*LUCY:,But when you c,UI,T4,UI,T4,MATCH,T4,sbcsae
*LUCY:,I was telling John,,,,,,,sbcsae
,I just did an ad for The Patriot,,,,,,,sbcsae
*LUCY:,Yesterday when I was in work,,,,,,,sbcsae
*LUCY:,Nine hundred thousand dollars,,,,,,,sbcsae
,for thirty four residences,,,,,,,sbcsae
*LUCY:,In East Boston and Revere,,,,,,,sbcsae
*LUCY:,So our contract was similar,,,,,,,sbcsae
*LUCY:,So it's it's an average of fifty thousand,,,,,,,sbcsae
*AL:,Yeah,,,,,,,sbcsae
*LUCY:,You know,,,,,,,sbcsae
,between f thirty and fifty thousand,,,,,,,sbcsae
*LUCY:,Depending on how much they do in each house,,,,,,,sbcsae
*LUCY:,Like some people didn't want the rooms done,,,,,,,sbcsae
*LUCY:,We figured,,,,,,,sbcsae
,our living room was so big,,,,,,,sbcsae
,why not take advantage,,,,,,,sbcsae
,and have them put new walls laugh,,,,,,,sbcsae
*AL:,Oh sure,,,,,,,sbcsae
*LUCY:,you know,,,,,,,sbcsae
*AL:,Might as well get everything,,,,,,,sbcsae
*JOHN:,fifty thousand,,,,,,,sbcsae
*LUCY:,,,,,,,,sbcsae
*AL:,Might as well not take everything they're willing to give you,,,,,,,sbcsae
*LUCY:,Yeah,,,,,,,sbcsae
*LUCY:,That's right,,,,,,,sbcsae
*LUCY:,That's that's what we said,,,,,,,sbcsae
*JOHN:,Gotta,,,,,,,sbcsae
*LUCY:,so,,,,,,,sbcsae
*DAN:,And also,,,,,,,sbcsae
,the ceiling fell down already,,,,,,,sbcsae
*DAN:,So,,,,,,,sbcsae
*LUCY:,Well,,,,,,,sbcsae
,but they didn't do the ceiling,UI,T4,UI,T1,UNMATCH,T1,sbcsae
,unfortunately,,,,,,,sbcsae
,because it's not on a top floor,,,,,,,sbcsae
*DAN:,Are they gonna replace that,,,,,,,sbcsae
*LUCY:,No,,,,,,,sbcsae
*DAN:,That doesn't go with doing over the room,,,,,,,sbcsae
*DAN:,The ceiling isn't considered laugh part of the living room,,,,,,,sbcsae
*LUCY:,No,,,,,,,sbcsae
*LUCY:,O no,,,,,,,sbcsae
,Only if,,,,,,,sbcsae
,that room,,,,,,,sbcsae
,is on the top level of the house,,,,,,,sbcsae
*ANNE:,What did you drop,,,,,,,sbcsae
*ENV:,,,,,,,,sbcsae
*LUCY:,If it's on the top level of the house,,,,,,,sbcsae
,they would,,,,,,,sbcsae
,because they needed to soundproof it,,,,,,,sbcsae
*LIND:,Al,,,,,,,sbcsae
,there's nobody,,,,,,,sbcsae
*LIND:,oh the girls are in there,,,,,,,sbcsae
*LUCY:,but there's two levels above,TI,T4,TI,T4,MATCH,T4,sbcsae
*LUCY:,So they didn't have to,,,,,,,sbcsae
*LUCY:,Unfortunately,,,,,,,sbcsae
*ANNE:,Hunh,,,,,,,sbcsae
*AL:,So what l,,,,,,,sbcsae
*AL:,I'm curious now,,,,,,,sbcsae
*AL:,What did they do to the walls,,,,,,,sbcsae
*LUCY:,Oh,,,,,,,sbcsae
,wait till you see what they did in the living room,,,,,,,sbcsae
*LUCY:,When,,,,,,,sbcsae
*LUCY:,when we get the walls painted and everything,,,,,,,sbcsae
,you'll all have to come over,,,,,,,sbcsae
*LUCY:,And just see,,,,,,,sbcsae
*AL:,Oh is the room smaller or something now,,,,,,,sbcsae
*AL:,Did they,,,,,,,sbcsae
*LUCY:,They went in five inches,,,,,,,sbcsae
,on the two outside walls,,,,,,,sbcsae
*LUCY:,They put in,,,,,,,sbcsae
*LUCY:,they studded the outside walls,,,,,,,sbcsae
,from the inside,,,,,,,sbcsae
*LUCY:,You know,,,,,,,sbcsae
,the inside of the room,,,,,,,sbcsae
*LUCY:,Um,,,,,,,sbcsae
,and then they put insulation,,,,,,,sbcsae
,and then they put soundproof boards,,,,,,,sbcsae
*LUCY:,Then they put two layers,,,,,,,sbcsae
,of three quarter inch drywall,,,,,,,sbcsae
*LUCY:,And then they taped it all,,,,,,,sbcsae
,and skim coated it,,,,,,,sbcsae
*LUCY:,It's beautiful,,,,,,,sbcsae
*AL:,Oh they skim coated it too,,,,,,,sbcsae
*LUCY:,Yep,,,,,,,sbcsae
*AL:,they didn't just tape it,,,,,,,sbcsae
*LUCY:,Yeah,,,,,,,sbcsae
*AL:,Oh,,,,,,,sbcsae
*LUCY:,And then they put a primer coat of paint on it,,,,,,,sbcsae
*LUCY:,So all we have to do is go in and paint it,,,,,,,sbcsae
*LUCY:,They put new woodwork along the bottom,,,,,,,sbcsae
,and all new woodwork around the windows,,,,,,,sbcsae
*LUCY:,Danny and I got crap woodwork,,,,,,,sbcsae
*LUCY:,Ev,,,,,,,sbcsae
*LUCY:,All the room,,,,,,,sbcsae
*LUCY:,windows had to have woodwork for them to,,,,,,,sbcsae
,So,,,,,,,sbcsae
,that room out back,,,,,,,sbcsae
,that used to be a porch,,,,,,,sbcsae
*AL:,Mhm,,,,,,,sbcsae
*LUCY:,Danny and I put wallboard up,,,,,,,sbcsae
,and then we got this garbage trim,,,,,,,sbcsae
*LUCY:,That was on sale for three ninety five,,,,,,,sbcsae
*LUCY:,They replaced it with the stuff that was thirteen ninety five,,,,,,,sbcsae
*ANNE:,Mm,,,,,,,sbcsae
*DAN:,Yeah,,,,,,,sbcsae
*ENV:,,,,,,,,sbcsae
*DAN:,Had to put the,,,,,,,sbcsae
*DAN:,You had to go through the aggravation,,,,,,,sbcsae
*LUCY:,uh Of putting it up,,,,,,,sbcsae
*DAN:,Spending the money on this trash,,,,,,,sbcsae
*LUCY:,It had to be there,,,,,,,sbcsae
,before they would replace,,,,,,,sbcsae
*DAN:,putting the trim up,,,,,,,sbcsae
,before they would work on it,,,,,,,sbcsae
*LUCY:,Mm,,,,,,,sbcsae
*JOHN:,come in and tear it down and replace it,,,,,,,sbcsae
*LUCY:,Although,,,,,,,sbcsae
,did I tell you that guy that put the hole,,,,,,,sbcsae
*DAN:,just to get an,,,,,,,sbcsae
*LUCY:,Remember the guy that put the hole,,,,,,,sbcsae
*LIND:,,,,,,,,sbcsae
*LUCY:,in the back of his house,,,,,,,sbcsae
,because he decided he'd like a picture window in his kitchen,,,,,,,sbcsae
*ANNE:,,,,,,,,sbcsae
*DAN:,,,,,,,,sbcsae
,And they wouldn't re place it,,,,,,,sbcsae
*ANNE:,,,,,,,,sbcsae
*LUCY:,They did,,,,,,,sbcsae
*DAN:,Cause there were,,,,,,,sbcsae
*DAN:,Oh they did,,,,,,,sbcsae
*LUCY:,Yes,,,,,,,sbcsae
,he threatened to take them to court,,,,,,,sbcsae
*DAN:,Oh I thought they told him,,,,,,,sbcsae
*LUCY:,so they re pla,,,,,,,sbcsae
*LUCY:,they put in,,,,,,,sbcsae
*DAN:,they told,,,,,,,sbcsae
*DAN:,didn't they originally tell him,,,,,,,sbcsae
,he had to put a,,,,,,,sbcsae
*LUCY:,Yeah,,,,,,,sbcsae
*DAN:,he had to put a window in,,,,,,,sbcsae
*LIND:,uh,,,,,,,sbcsae
*LUCY:,Well that was the guy,,,,,,,sbcsae
,that used to live around the corner,,,,,,,sbcsae
*LIND:,,,,,,,,sbcsae
*LUCY:,from mom and dad,,,,,,,sbcsae
*DAVE:,Now how much the Patriots losing by,,,,,,,sbcsae
*LUCY:,that died,,,,,,,sbcsae
*LUCY:,He died right after they l,,,,,,,sbcsae
*AL:,It was almost seventeen in the fourth,,,,,,,sbcsae
*ANNE:,Well that'll teach him,,,,,,,sbcsae
*X:,Are they winning,,,,,,,sbcsae
*ANNE:,,,,,,,,sbcsae
*AL:,No they're losing,,,,,,,sbcsae
*ALLE:,Is that plugged in yet,,,,,,,sbcsae
*AL:,Buffalo was driving em,,,,,,,sbcsae
*ALLE:,or what,,,,,,,sbcsae
*DAVE:,Of course they're losing,,,,,,,sbcsae
*LUCY:,You might,,,,,,,sbcsae
*LUCY:,Oh,,,,,,,sbcsae
*LUCY:,Well well,,,,,,,sbcsae
*LUCY:,You know the,,,,,,,sbcsae
*LUCY:,You know who I mean,,,,,,,sbcsae
*LUCY:,The guy that used to live around the corner,,,,,,,sbcsae
*DAVE:,,,,,,,,sbcsae
*LUCY:,That during bussing,,,,,,,sbcsae
,had the illiterate spelt wrong on the side of his house,,,,,,,sbcsae
*DAN:,Oh yeah yeah,,,,,,,sbcsae
,the Italian guy that l,,,,,,,sbcsae
*DAN:,You mean the guy that lived in Charles town,,,,,,,sbcsae
*LUCY:,Yes,,,,,,,sbcsae
*LUCY:,Yeah,,,,,,,sbcsae
*DAVE:,You can watch,,,,,,,sbcsae
,,,,,,,,sbcsae
*LUCY:,He moved down near me,,,,,,,sbcsae
*AL:,That was in tentional though Lucy,,,,,,,sbcsae
*LIND:,,,,,,,,sbcsae
*DAN:,Yeah,,,,,,,sbcsae
,that was a,,,,,,,sbcsae
,that was a gag,,,,,,,sbcsae
*AL:,Having illiterate spelled,,,,,,,sbcsae
*LUCY:,No,,,,,,,sbcsae
*LUCY:,I don't think l he did,,,,,,,sbcsae
*AL:,,,,,,,,sbcsae
*LUCY:,he didn't know how to spell it,,,,,,,sbcsae
*ANNE:,Mm,,,,,,,sbcsae
*LUCY:,That was,,,,,,,sbcsae
*DAVE:,Jane,,,,,,,sbcsae
*LUCY:,,,,,,,,sbcsae
,,,,,,,,sbcsae
*DAN:,Well it was close,,,,,,,sbcsae
*DAN:,But it was a ga g,UI,T1,UI,T4,UNMATCH,T1,sbcsae
*LUCY:,,,,,,,,sbcsae
*DAN:,He probably didn't know himself,,,,,,,sbcsae
*LUCY:,No,,,,,,,sbcsae
*LUCY:,I'm sure he didn't,,,,,,,sbcsae
*DAN:,He went and looked it up in the dictionary,,,,,,,sbcsae
*LUCY:,,,,,,,,sbcsae
*DAN:,so that he could spell it wrong on purpose,,,,,,,sbcsae
*LUCY:,,,,,,,,sbcsae
*AL:,,,,,,,,sbcsae
*LUCY:,,,,,,,,sbcsae
,Yeah,,,,,,,sbcsae
*LUCY:,But the windows Al,UI,T4,UI,T4,MATCH,T4,sbcsae
*LUCY:,Are,,,,,,,sbcsae
*DAN:,,,,,,,,sbcsae
*ANNE:,Al is smoking,,,,,,,sbcsae
*LUCY:,This,,,,,,,sbcsae
,this wide now,,,,,,,sbcsae
*LUCY:,They're,,,,,,,sbcsae
,the living room windows,,,,,,,sbcsae
*LUCY:,It's two complete windows,,,,,,,sbcsae
*LUCY:,They have,,,,,,,sbcsae
,And,,,,,,,sbcsae
,all of the windows are four sheets of glass thick,,,,,,,sbcsae
*LUCY:,There are two levels,,,,,,,sbcsae
,on the top,,,,,,,sbcsae
,and two levels on the bottom,,,,,,,sbcsae
*LUCY:,With,,,,,,,sbcsae
,double glass,,,,,,,sbcsae
*LUCY:,So,,,,,,,sbcsae
,I have to open,,,,,,,sbcsae
,in every room I have to open at least two windows,,,,,,,sbcsae
*LUCY:,To get to the screen,,,,,,,sbcsae
*LUCY:,And the screen is full level,,,,,,,sbcsae
,from the top to the bottom of the window,,,,,,,sbcsae
*AL:,Mhm,,,,,,,sbcsae
*LUCY:,They're really nice,,,,,,,sbcsae
*DAN:,l,,,,,,,sbcsae
*LUCY:,Unfortunately,,,,,,,sbcsae
*ANNE:,So how is that for washing your windows,,,,,,,sbcsae
*LUCY:,We're three years too late,,,,,,,sbcsae
*LIND:,Did you leave it over there,,,,,,,sbcsae
*LUCY:,You can pull,,,,,,,sbcsae
*LIND:,Cause I just brought this one down,,,,,,,sbcsae
*LUCY:,They,,,,,,,sbcsae
*ANNE:,,,,,,,,sbcsae
*LUCY:,Each panel comes out,,,,,,,sbcsae
*ANNE:,Oh,,,,,,,sbcsae
,nice,,,,,,,sbcsae
*LUCY:,And you wash them from the inside,,,,,,,sbcsae
*AL:,Oh they,,,,,,,sbcsae
*LUCY:,Three years ago they put central air conditioning,,,,,,,sbcsae
*LUCY:,But they stopped that,UI,T1,TI,T2,UNMATCH,T1,sbcsae
*LUCY:,Because the federal government decided that it was,,,,,,,sbcsae
*DAN:,,,,,,,,sbcsae
*ANNE:,Extravagant use of money,,,,,,,sbcsae
*JOHN:,Oh man,,,,,,,sbcsae
*LUCY:,Cost prohibitive,,,,,,,sbcsae
*JOHN:,Too bad they,,,,,,,sbcsae
*JOHN:,C oh,,,,,,,sbcsae
*JOHN:,Oh God,,,,,,,sbcsae
*LUCY:,They did it in,,,,,,,sbcsae
*JOHN:,Too bad you couldn't've got in on that,,,,,,,sbcsae
*LUCY:,Connecticut,,,,,,,sbcsae
*LUCY:,Connecticut and Rhode Island got the central air conditioning,,,,,,,sbcsae
*JOHN:,Ah,,,,,,,sbcsae
*LUCY:,But they didn't,TI,T1,TI,T4,UNMATCH,T1,sbcsae
,They,,,,,,,sbcsae
*ANNE:,That's good for about three grand,,,,,,,sbcsae
*LUCY:,Yeah,,,,,,,sbcsae
*LUCY:,they stopped it by the time,,,,,,,sbcsae
*ALLE:,Could you move your house over there John,,,,,,,sbcsae
*LUCY:,they got up here,,,,,,,sbcsae
*ALLE:,and have the planes go over,,,,,,,sbcsae
*LUCY:,I know,,,,,,,sbcsae
*JOHN:,Yeah laugh,,,,,,,sbcsae
*ANNE:,,,,,,,,sbcsae
*JOHN:,,,,,,,,sbcsae
*LUCY:,You know actually though,,,,,,,sbcsae
*ALLE:,,,,,,,,sbcsae
*LUCY:,you can still hear the planes,,,,,,,sbcsae
*JOHN:,We may,,,,,,,sbcsae
*JOHN:,I was just gonna ask you,,,,,,,sbcsae
*LUCY:,I mean it's not,,,,,,,sbcsae
,It,,,,,,,sbcsae
*LUCY:,S,,,,,,,sbcsae
*LUCY:,Sabina said,,,,,,,sbcsae
,she had hers done last fall,,,,,,,sbcsae
*X:,,,,,,,,sbcsae
*LUCY:,And she said,,,,,,,sbcsae
,she could notice,,,,,,,sbcsae
,a big difference in the winter,,,,,,,sbcsae
*LUCY:,But in the summer,UI,T2,UI,T2,MATCH,T2,sbcsae
,when you have your windows open anyway,,,,,,,sbcsae
*JOHN:,Oh yeah,,,,,,,sbcsae
*LUCY:,It really doesn't make any difference for her,,,,,,,sbcsae
*AL:,Well that's why you should've made a case for the air conditioning,,,,,,,sbcsae
*JOHN:,That's right,,,,,,,sbcsae
*AL:,You know I wouldn't have to open my windows,,,,,,,sbcsae
*JOHN:,Yeah,,,,,,,sbcsae
*LUCY:,I know,,,,,,,sbcsae
*DAN:,,,,,,,,sbcsae
*LUCY:,But that,TI,T4,TI ,T4,MATCH,T4,sbcsae
,that was what the d,,,,,,,sbcsae
,the guy that came,,,,,,,sbcsae
,the first day from Mass Port said,,,,,,,sbcsae
*LUCY:,boy,,,,,,,sbcsae
,unfortunately,,,,,,,sbcsae
,you're a couple of years too late for the air conditioning,,,,,,,sbcsae
*JOHN:,Ah,,,,,,,sbcsae
,that would be beautiful,,,,,,,sbcsae
*DAN:,,,,,,,,sbcsae
*LUCY:,,,,,,,,sbcsae
*DAN:,How much complaining can you do,,,,,,,sbcsae
*DAN:,What did they spend on your house,,,,,,,sbcsae
*LUCY:,Oh it had,,,,,,,sbcsae
*DAN:,probably twenty five thousand,,,,,,,sbcsae
*LUCY:,It has to,,,,,,,sbcsae
*LUCY:,Oh more than that Dan,,,,,,,sbcsae
*DAN:,Thirty five thousand,,,,,,,sbcsae
*JOHN:,More,,,,,,,sbcsae
*LUCY:,More than that,,,,,,,sbcsae
*DAN:,Like I said,,,,,,,sbcsae
*DAN:,uh Just give me the money and,,,,,,,sbcsae
*LUCY:,Mhm,,,,,,,sbcsae
*DAN:,you can have the house,,,,,,,sbcsae
*DAN:,,,,,,,,sbcsae
,We'll start somewhere else,,,,,,,sbcsae
*DAN:,It is a really strange regulation though,,,,,,,sbcsae
*DAN:,Um,,,,,,,sbcsae
,did all this work,,,,,,,sbcsae
,just so they could,,,,,,,sbcsae
*JOHN:,Come in and tear it down,,,,,,,sbcsae
*LUCY:,So that you can't s,,,,,,,sbcsae
*DAN:,come,,,,,,,sbcsae
,tear it down ,,,,,,,sbcsae
*LUCY:,I know,,,,,,,sbcsae
*DAN:,And get in the carpenters' way,,,,,,,sbcsae
*LUCY:,But they,TI,I2,TI,I2,MATCH,I2,sbcsae
*LUCY:,You sign a contract,,,,,,,sbcsae
*DAN:,Really,,,,,,,sbcsae
*LUCY:,that you can't sue them for noise pollution,,,,,,,sbcsae
*LUCY:,For at least twenty years after the work is completed,,,,,,,sbcsae
*DAN:,But Since,TI,I2,TI,I2,MATCH,I2,sbcsae
*DAN:,But for them it 's uh,UI,T4,UI,T4,MATCH,T4,sbcsae
*LUCY:,,,,,,,,sbcsae
*DAN:,you know,,,,,,,sbcsae
,for the workers themselves it's like,,,,,,,sbcsae
*ANNE:,Hunh,,,,,,,sbcsae
*DAN:,The room was b,,,,,,,sbcsae
*DAN:,The room didn't even have anything up John,,,,,,,sbcsae
*DAN:,There was no,,,,,,,sbcsae
,No walls,,,,,,,sbcsae
,nothing,,,,,,,sbcsae
*LUCY:,We put the walls up,,,,,,,sbcsae
*DAN:,They could've just popped them,,,,,,,sbcsae
,Yeah,,,,,,,sbcsae
*JOHN:,Yeah,,,,,,,sbcsae
*DAN:,They could've just popped the windows out,,,,,,,sbcsae
*DAN:,Without any trouble,,,,,,,sbcsae
*LUCY:,Hm,,,,,,,sbcsae
*DAN:,Put the windows back,,,,,,,sbcsae
,put the new windows in,,,,,,,sbcsae
*LUCY:,Yeah,,,,,,,sbcsae
*DAN:,They had to come in and tear stuff down,,,,,,,sbcsae
*LUCY:,Yeah,,,,,,,sbcsae
*LUCY:,And of course,,,,,,,sbcsae
,the stuff that we put up,,,,,,,sbcsae
,wasn't first quality,,,,,,,sbcsae
,because,,,,,,,sbcsae
,w why would we spend the money,,,,,,,sbcsae
*JOHN:,Yeah ,,,,,,,sbcsae
*LUCY:,if they're gonna replace it if they crack it,,,,,,,sbcsae
,so everything they touched,,,,,,,sbcsae
*ALLE:,Did they take the woodwork down,,,,,,,sbcsae
*DAN:,We made sure we used stuff that they'd crack,,,,,,,sbcsae
*ALLE:,that Danny put in your kitchen,,,,,,,sbcsae
*LUCY:,Yes,,,,,,,sbcsae
,they put up stuff that was worth three times the money,,,,,,,sbcsae
*ALLE:,And they told you to f,,,,,,,sbcsae
*ALLE:,you had to do that,,,,,,,sbcsae
*LUCY:,Well,,,,,,,sbcsae
,it had to be existing,,,,,,,sbcsae
*LUCY:,In order for them to replace it,,,,,,,sbcsae
*ALLE:,Oh,,,,,,,sbcsae
*DAN:,We had to fin ish that whole second floor room,,,,,,,sbcsae
*LUCY:,They had to bring out whatev,,,,,,,sbcsae
*LUCY:,You know,,,,,,,sbcsae
,the,,,,,,,sbcsae
