Speaker,Script,Position1,Function1,Position2,Function2,Match,Agreement,
*RICH:,                   ⌊2 It's always been like that ⌋2 . ,,,,,,,
*FRED:,it's +/. ,,,,,,,
*FRED:,&=in It's p⌉2ar for the course man . ,,,,,,,
*FRED:,(..) Right ? ,,,,,,,
*FRED:,(.) ⌈ &=in ⌉ . ,,,,,,,
*RICH:,    ⌊ Yeah ⌋ ,,,,,,,
,definitely . ,,,,,,,
*RICH:,(..) Ts- why I: can't take that ,,,,,,,
,that type of living anymore ,,,,,,,
,even is this ,,,,,,,
,uh ,,,,,,,
,(.) career doesn't work out for me ,,,,,,,
,I'll find something that ⌈ will ⌉ . ,,,,,,,
*FRED:,                         ⌊ Some⌋thing else . ,,,,,,,
*FRED:,Well you're gonna do real estate maybe ,,,,,,,
,⌈ right ⌉ ? ,,,,,,,
*RICH:,⌊ Def⌋initely ,,,,,,,
,I'm +/. ,,,,,,,
*RICH:,I got my books and everything ,,,,,,,
,I'll be studying and uh ,,,,,,,
,(..) but in a sense ,UI,T4,UI,T4,MATCH,,
,I need uh ,,,,,,,
,(..) some type of steady income . ,,,,,,,
*FRED:,(..) &=in But ,TI,I2,TI,I2,MATCH,,
,but uh: ,TI,I2,TI,I2,MATCH,,
,(.) you s- +/. ,,,,,,,
*FRED:,Th- the competition man . ,,,,,,,
*FRED:,I mean ,,,,,,,
,(.) &=in is it real tough ? ,,,,,,,
*FRED:,Like ,,,,,,,
,(.) on the lot ? ,,,,,,,
*RICH:,(..) Yeah ,,,,,,,
,it is . ,,,,,,,
*RICH:,There's def- +/. ,,,,,,,
*RICH:,And there's guys that've been doing that four or five years ,,,,,,,
,⌈ and ⌉ . ,,,,,,,
*FRED:,⌊ And they're ⌋ real good at i⌈2t ⌉2 . ,,,,,,,
*RICH:,                              ⌊2 th⌋2at are real good at it ,,,,,,,
,an:d they: know how to (.) talk to the people ,,,,,,,
,and they know that ,,,,,,,
,(.) when somebody's coming in ,,,,,,,
,if they're buying or not . ,,,,,,,
*FRED:,(..) Oh ,,,,,,,
,they could tell right aw⌈ay ⌉ . ,,,,,,,
*RICH:,                        ⌊ Y⌋eah but that all comes with time . ,UI,T4,UI,T4,MATCH,,
*RICH:,You know ,,,,,,,
,⌈ and . ,,,,,,,
*FRED:,⌊ Yeah ⌋ . ,,,,,,,
*RICH:,(.) and they're ⌉ pretty helpful with me ,,,,,,,
,and uh ,,,,,,,
,(..) you know it'll all come in time . ,,,,,,,
*RICH:,Right ,,,,,,,
,I- I figure ,,,,,,,
,(..) the more cards I get out ,,,,,,,
,the more people I talk to ,,,,,,,
,n- the more cars I'm gonna sell . ,,,,,,,
*RICH:,Just all comes with time . ,,,,,,,
*RICH:,Once I get my experience ,,,,,,,
,I'll be up there too in the top four salesman . ,,,,,,,
*RICH:,&=in ⌈ &=lengthened ⌉ . ,,,,,,,
*FRED:,     ⌊ Your parents ⌋ don't know yet . ,,,,,,,
*FRED:,Hunh . ,,,,,,,
*RICH:,N:o . ,,,,,,,
*RICH:,They'll know when they come back . ,,,,,,,
*FRED:,(.) I +/. ,,,,,,,
*FRED:,and I think my dad told me yesterday ,,,,,,,
,they're coming back the fifteenth ? ,,,,,,,
*FRED:,⌈ or sixteenth ⌉ ? ,,,,,,,
*RICH:,⌊ Yeah . ,,,,,,,
*RICH:,(.) def⌋inite- +/. ,,,,,,,
*RICH:,I think s- +/. ,,,,,,,
*RICH:,ʔuh: It's gonna be the fifteenth ,,,,,,,
,which would be on a Saturday I think . ,,,,,,,
*RICH:,(..) &=in (..) And I'll be working till nine o'clock . ,,,,,,,
*RICH:,So they'll ,,,,,,,
,they'll be pretty: (.) happy for me ,,,,,,,
,more or less ,,,,,,,
,because uh ,,,,,,,
,they didn't want me to work in the factory much longer . ,,,,,,,
*FRED:,(..) Yeah ,,,,,,,
,I know . ,,,,,,,
*FRED:,My mom doesn't know what to do to get me out . ,,,,,,,
*FRED:,(..) &=in But ,UI,T4,UI,T4,MATCH,,
,they didn't take a trip through: ,,,,,,,
,Brazil ,,,,,,,
,and Ar⌈gentina ⌉ ? ,,,,,,,
*RICH:,      ⌊ I don't know ⌋ ,,,,,,,
,I don't know they- they ,,,,,,,
,they ⌈ &{l=X didn't &}l=X ⌉ +... ,,,,,,,
*FRED:,     ⌊ They ⌋ spent the whole time in: Guayaquil ? ,,,,,,,
*RICH:,(.) Yeah I think so . ,,,,,,,
*RICH:,They tol- +/. ,,,,,,,
*RICH:,My dad told me he was gonna go to uh: ,,,,,,,
,Argentina ,,,,,,,
,and Peru ,,,,,,,
,and Colombia ,,,,,,,
,but ,UI,T4,UI,T1,UNMATCH,T1,
,(..) he only wrote one letter ,,,,,,,
,and and they were in uh . ,,,,,,,
*FRED:,(.) No one's called em ,,,,,,,
,ʔy- I mean no one's talked to ⌈ them ⌉ ? ,,,,,,,
*RICH:,                              ⌊ No ⌋ . ,,,,,,,
*FRED:,⌈2 X ⌉2 . ,,,,,,,
*RICH:,⌊2 He ⌋2 sent postcards to everybody ,,,,,,,
,and a &{l=YWN letter but ,UI,T1,UI,T1,MATCH,,
,(.) &=YAWN ⌈ &=lengthened ⌉ . ,,,,,,,
*FRED:,           ⌊ Yeah ⌋ . ,,,,,,,
*RICH:,(..) Other than that &}l=YWN ,,,,,,,
,he hasn't called or told us what's up ,,,,,,,
,&{l=X and he'll be in here no time &}l=X . ,,,,,,,
*FRED:,(.) Is he staying over at Miguel Juarez's ? ,,,,,,,
*RICH:,(.) Yeah . ,,,,,,,
*FRED:,(..) Yeah ? ,,,,,,,
*RICH:,(..) And uh: ,,,,,,,
,the other architect . ,,,,,,,
*RICH:,Is his nephew or something . ,,,,,,,
*RICH:,Pe- +/. ,,,,,,,
*RICH:,(.) Pedro Cruz . ,,,,,,,
*FRED:,(..) Pedro Cru⌈z ⌉ . ,,,,,,,
*RICH:,              ⌊ Yeah ⌋ ,,,,,,,
,he's a architect ⌈2 or ⌉2 . ,,,,,,,
*FRED:,                 ⌊2 I nev⌋2er met him . ,,,,,,,
*FRED:,(..) I know Miguel . ,,,,,,,
*RICH:,⌈ That's his . ,,,,,,,
*FRED:,⌊ I've been to his house a number of time- ⌋ . ,,,,,,,
*RICH:,his nephew . ,,,,,,,
*RICH:,Th- one of ⌉ his (.) brother's sons or something . ,,,,,,,
*FRED:,(..) Unhunh . ,,,,,,,
*RICH:,(..) &=tsk (..) But uh: ,TI,I2,TI,I2,MATCH,,
,they'll come back ,,,,,,,
,they'll be happy to see me here ,,,,,,,
,tha:t I got a new career going ,,,,,,,
,and uh . ,,,,,,,
*FRED:,(.) &=in They weren't all heartbroken about ,,,,,,,
,(.) you know ,,,,,,,
,(.) Jeanie and that ? ,,,,,,,
*RICH:,(..) &=tsk ⌈ Well they have no ide⌉a what's happening right now . ,,,,,,,
*FRED:,           ⌊ They must have been ⌋ +/. ,,,,,,,
*FRED:,They have no id⌈2ea XX ⌉2 . ,,,,,,,
*RICH:,               ⌊2 When they left ⌋2 ,,,,,,,
,we were on shaky grounds ,,,,,,,
,but ,UI,T1,UI,T1,MATCH,,
,(..) ʔuh: you know ,,,,,,,
,they thought it might be able to work out . ,,,,,,,
*RICH:,(..) So when they come in ,,,,,,,
,they'll be pretty shocked . ,,,,,,,
*FRED:,(.) Yeah . ,,,,,,,
*RICH:,And ,,,,,,,
,and hurt . ,,,,,,,
*RICH:,(..) But uh ,UI,T1,UI,T1,MATCH,,
,like I say ,,,,,,,
,things (.) will work out f- for the best . ,,,,,,,
*FRED:,What about her folks . ,,,,,,,
*FRED:,(..) They're not sorry at all ,,,,,,,
,hu⌈h ⌉ . ,,,,,,,
*RICH:,  ⌊ N⌋o: uh ,,,,,,,
,in fact I've seen em ,,,,,,,
,I +/. ,,,,,,,
*RICH:,I w- I went to church with em ,,,,,,,
,for the last three Sundays . ,,,,,,,
*FRED:,Really ? ,,,,,,,
*RICH:,(..) ⌈ With Jeanie ⌉ . ,,,,,,,
*FRED:,     ⌊ Wow: ⌋ . ,,,,,,,
*RICH:,(..) She thought it might ,,,,,,,
,you know ,,,,,,,
,help our relationship as friends ,,,,,,,
,and uh . ,,,,,,,
*FRED:,(..) &=in She still considers you man . ,,,,,,,
*FRED:,Hunh . ,,,,,,,
*RICH:,Exactly . ,,,,,,,
*RICH:,She does ,,,,,,,
,because I mean ,,,,,,,
,we went to church together ,,,,,,,
,for the last three Sundays . ,,,,,,,
*FRED:,(.) ⌈ Yeah ⌉ . ,,,,,,,
*RICH:,    ⌊ &=in ⌋ and then ,,,,,,,
,then we went to the movies after ,,,,,,,
,(..) and her: her folks were at church ,,,,,,,
,and ,,,,,,,
,you know ,,,,,,,
,ʔn:- afterwards ,,,,,,,
,her mom ,,,,,,,
,w- had a injury on her leg or something ,,,,,,,
,(.) she wasn't at church last Sunday ,,,,,,,
,(..) we went to the ,,,,,,,
,to their house . ,,,,,,,
*RICH:,ʔuh And uh ,,,,,,,
,(.) I went over there ,,,,,,,
,and her brother was there ,,,,,,,
,her nephews and nieces ,,,,,,,
,her sister ,,,,,,,
,(..) &=in our godson ,,,,,,,
