Speaker,Script,Position1,Function1,Position2,Function2,Match,Agreement,
,⌈4 but it was (.) private ⌉4 party . ,UI,T4,UI,T1,UNMATCH,T4,ADDITIONAL INFO
*FRED:,⌊4 f- uh- you've had- (.) you ⌋4 +/. ,,,,,,,
*FRED:,You've had about ,,,,,,,
,(.) like thirty ⌈ cars . ,,,,,,,
*RICH:,                ⌊ &=tsk At least ⌋ . ,,,,,,,
*FRED:,hunh ⌉ . ,,,,,,,
*RICH:,yeah . ,,,,,,,
*RICH:,⌈ At least ⌉ . ,,,,,,,
*FRED:,⌊ At least thirty ⌋ cars . ,,,,,,,
*RICH:,(..) &=tsk &=in So I have some type of experience selling ,,,,,,,
,dea⌈ling with people ⌉ . ,,,,,,,
*FRED:,   ⌊ You know about c⌋ars . ,,,,,,,
*RICH:,handling the money ,,,,,,,
,and uh ,,,,,,,
,the only thing it is ,,,,,,,
,ʔth- ʔI: have to (.) work on ,,,,,,,
,is doing the paperwork . ,,,,,,,
*RICH:,Is uh ,,,,,,,
,&=in &=lengthened filling out a contract ,,,,,,,
,and uh: ,,,,,,,
,(..) basically paperwork ,,,,,,,
,which is f- (.) very simple . ,,,,,,,
*RICH:,That ,,,,,,,
,(.) you know ,,,,,,,
,once it comes along with experience ,,,,,,,
,and the more people I work with ,,,,,,,
,the easier it will ,,,,,,,
,it'll be ,,,,,,,
,that's the: most important thing and ,,,,,,,
,and selling them the car ,,,,,,,
,talking to &=in somebody in ,,,,,,,
,(..) to buying a car ,,,,,,,
,that doesn't wanna buy . ,,,,,,,
*RICH:,Tha- that's there to look . ,,,,,,,
*FRED:,(..) Yeah . ,,,,,,,
*RICH:,(..) But yet ,TI,T1,TI,T1,MATCH,,
,wouldn't mind owning a new car . ,,,,,,,
*FRED:,(.) That's right . ,,,,,,,
*RICH:,(..) A:nd you've gotta talk em into it ,,,,,,,
,you gotta sell it to em . ,,,,,,,
*RICH:,You know ? ,,,,,,,
*RICH:,You gotta em in your office ,,,,,,,
,(..) &=in &=lengthened (.) and you gotta sell that car to em . ,,,,,,,
*RICH:,You can't let em leave without that sale . ,,,,,,,
*RICH:,(..) Otherwise ,,,,,,,
,they're gonna go elsewhere . ,,,,,,,
*FRED:,(..) Right . ,,,,,,,
*RICH:,(..) If they believe you ,,,,,,,
,and you can sell em . ,,,,,,,
*FRED:,&=in ⌈ &=lengthened You need this c⌉ar . ,,,,,,,
*RICH:,     ⌊ you gonna make a lot of money ⌋ . ,,,,,,,
*FRED:,you want ⌈2 this car . ,,,,,,,
*RICH:,         ⌊2 &=in Definetely ⌋2 . ,,,,,,,
*FRED:,take ⌉2 it with you [% laugh] ,,,,,,,
,&=laugh &=laugh &=laugh ⌈3 &=laugh ⌉3 . ,,,,,,,
*RICH:,                        ⌊3 Wh⌋3:at can I do for you . ,,,,,,,
*FRED:,&=in ⌈4 &=lengthened ⌉4 . ,,,,,,,
*RICH:,     ⌊4 in or⌋4der for you to buy this car . ,,,,,,,
*RICH:,I mean if ,,,,,,,
,is the price too much ? ,,,,,,,
*RICH:,I could work on the price . ,,,,,,,
*RICH:,Let me go talk to my manager . ,,,,,,,
*RICH:,&=in Maybe I could drop it five six-hundred dollars . ,,,,,,,
*RICH:,Maybe we have a three-hundred rebate that you could use towards the down payment . ,,,,,,,
*RICH:,&=in &=lengthened W:- maybe it's it's three point nine financing ,,,,,,,
,that'll save you money in the long run uh ,,,,,,,
,&=in if you finance fifteen or sixteen thousand dollars . ,,,,,,,
*RICH:,&=in ⌈ &=lengthened ⌉ So . ,,,,,,,
*FRED:,     ⌊ &=in ⌋ . ,,,,,,,
*RICH:,you know ,,,,,,,
,it's just ,,,,,,,
,it's uh ,,,,,,,
,it's ʔuh like a game . ,,,,,,,
*RICH:,You know ? ,,,,,,,
*FRED:,(.) Yeah . ,,,,,,,
*FRED:,(..) &=in &=lengthened So homes . ,,,,,,,
*FRED:,(.) Uh ,,,,,,,
,(..) they ,,,,,,,
,(.) they put you through training all these days ? ,,,,,,,
*FRED:,⌈ Is that it ⌉ ? ,,,,,,,
*RICH:,⌊ Yeah ,,,,,,,
,fi⌋ve days I watched uh ,,,,,,,
,videotapes dealing with this guy that ,,,,,,,
,that ,,,,,,,
,(..) ʔuh: that sold cars ,,,,,,,
,and made a hundred thous- +/. ,,,,,,,
*RICH:,His goal was to make a hundred thousand dollars every year selling cars . ,,,,,,,
*RICH:,&=in &=lengthened And he accomplished his goal . ,,,,,,,
*RICH:,Every year he sold a hundred thousand dollars ,,,,,,,
,&=in ⌈ and he retired ⌉ . ,,,,,,,
*FRED:,     ⌊ Oh my god ⌋ . ,,,,,,,
*RICH:,at thirty-five after ,,,,,,,
,&=in c:ertain amount of years selling and uh ,,,,,,,
,(.) he just got into ʔuh ,,,,,,,
,(..) making uh ,,,,,,,
,(..) audio cassettes . ,,,,,,,
*RICH:,&=in (..) In sales . ,,,,,,,
*RICH:,To motivati- +/. ,,,,,,,
*RICH:,Motivation s- (.) ⌈ uh tapes ⌉ . ,,,,,,,
*FRED:,                  ⌊ Oh I see ⌋ . ,,,,,,,
*RICH:,⌈2 and uh ⌉2 . ,,,,,,,
*FRED:,⌊2 A sys⌋2tem . ,,,,,,,
*FRED:,(.) To: sell . ,,,,,,,
*RICH:,Exactly . ,,,,,,,
*RICH:,Books ,,,,,,,
,seminar:s ,,,,,,,
,um . ,,,,,,,
*FRED:,⌈ Yeah ⌉ . ,,,,,,,
*RICH:,⌊ &=in vi⌋deo tape⌈2s ⌉2 . ,,,,,,,
*FRED:,                  ⌊2 Hund⌋2red thousand a year . ,,,,,,,
*FRED:,That guy must've hustle⌈3d ⌉3 . ,,,,,,,
*RICH:,                       ⌊3 Ye⌋3ah ,,,,,,,
,well ,,,,,,,
,it's possible . ,,,,,,,
*RICH:,You figure ,,,,,,,
,you could sell ,,,,,,,
,(..) at least twenty cars a month ,,,,,,,
,(..) every month for twelve months ,,,,,,,
,you know you're gonna be up there in ,,,,,,,
,f- ʔuh seventy eighty thousand dollar bracket . ,,,,,,,
*FRED:,(..) Twenty cars in a month . ,,,,,,,
*FRED:,(.) That's almost a car a day . ,,,,,,,
*RICH:,(.) Exactly . ,,,,,,,
*RICH:,(..) Which ⌈ isn't ⌉ difficult . ,,,,,,,
*FRED:,           ⌊ X ⌋ +... ,,,,,,,
*RICH:,If you're on the lot ,,,,,,,
,for a damn (..) twelve hours ʔuh: ,,,,,,,
,one car ,,,,,,,
,isn't all that much ,,,,,,,
,if (.) you have (.) the clients coming in . ,,,,,,,
*RICH:,(..) That's the only thing . ,,,,,,,
*RICH:,⌈ If you have ⌉ the traffic . ,,,,,,,
*FRED:,⌊ Yeah ⌋ . ,,,,,,,
*RICH:,we're on a busy street ,,,,,,,
,Firestone Boulevard . ,,,,,,,
*FRED:,(..) Right . ,,,,,,,
*FRED:,Firestone where ,,,,,,,
,by the six o five ? ,,,,,,,
*RICH:,(..) R- exactly . ,,,,,,,
*RICH:,Right before the six o five . ,,,,,,,
*RICH:,⌈ Right b⌉y +... ,,,,,,,
*FRED:,⌊ Yeah ⌋ . ,,,,,,,
*RICH:,Right past Downy ,,,,,,,
,where we used to play basketball at uh ,,,,,,,
,the YMCA . ,,,,,,,
*FRED:,(.) Yeah . ,,,,,,,
*FRED:,(.) a- a little (..) pa- past that going . ,,,,,,,
*RICH:,I'd s⌈ay: a m⌉ile . ,,,,,,,
*FRED:,     ⌊ east ⌋ . ,,,,,,,
*RICH:,(.) ⌈2 Yeah . ,,,,,,,
*FRED:,    ⌊2 A mile ⌋2 . ,,,,,,,
*RICH:,A mi⌉2le going ,,,,,,,
,uh east . ,,,,,,,
*FRED:,(.) &=in (.) You know ,,,,,,,
,I have been wanting to go visit you . ,,,,,,,
*FRED:,But ,UI,T1,TI,T1,MATCH,,
,I'm afraid you're gonna sell me a car bro . ,,,,,,,
*FRED:,&=laugh &=laugh &=laugh ⌈ &=laugh &=laugh &=laugh &=laugh &=laugh &=laugh &=laugh &=laugh &=laugh &=laugh &=laugh &=laugh &=laugh &=laugh &=laugh ⌉ . ,,,,,,,
*RICH:,                        ⌊ Yeah well ,,,,,,,
,that's the last thing you need to do ,,,,,,,
,is get in: any more debt ⌋ ,,,,,,,
,than you ⌈2 already are ⌉2 . ,,,,,,,
*FRED:,         ⌊2 &=in (.) &=laugh ⌋2 &=in . ,,,,,,,
*RICH:,⌈3 Uh ⌉3 . ,,,,,,,
*FRED:,⌊3 I'm hip ⌋3 man ,,,,,,,
,I gotta get (.) outa my debts . ,,,,,,,
*FRED:,Man [% laugh] &=laugh &=laugh &=laugh &=laugh . ,,,,,,,
*RICH:,(..) ⌈ Yeah I'm ⌉ +... ,,,,,,,
*FRED:,     ⌊ &=in &=lengthened ⌋ And then I'll be a free agent . ,,,,,,,
*FRED:,Ma⌈2n ⌉2 . ,,,,,,,
*RICH:,  ⌊2 In ⌋2 fact ,,,,,,,
,I was planning ,,,,,,,
,if they were gonna play basketball ,,,,,,,
,if I did go in Thur:sday at nine o'clock . ,,,,,,,
*FRED:,(..) You could go for (.) couple hou⌈rs . ,,,,,,,
*RICH:,                                    ⌊ It's right down the s⌋treet . ,,,,,,,
*FRED:,at least ⌉ . ,,,,,,,
*RICH:,I could bring my (.) work clothes ,,,,,,,
,and uh⌈: ⌉ . ,,,,,,,
*FRED:,      ⌊ s⌋ure . ,,,,,,,
*FRED:,&=in ⌈2 Hey you know ⌉2 . ,,,,,,,
*RICH:,     ⌊2 take a sh⌋2ower . ,,,,,,,
*FRED:,Take a shower . ,,,,,,,
*FRED:,Why not . ,,,,,,,
*FRED:,Because ,,,,,,,
,⌈ like ⌉ . ,,,,,,,
*RICH:,⌊ Get ⌋ there at seven and ,,,,,,,
,play from seven to quarter to nine ,,,,,,,
,and ,,,,,,,
,take probably five minutes ,,,,,,,
,to get from YMCA to the ,,,,,,,
,Firestone Chrysler . ,,,,,,,
*FRED:,&=in You wanna go tomorrow ? ,,,,,,,
*FRED:,(..) I +/. ,,,,,,,
*FRED:,⌈ I don't know if ⌉ they're playing . ,,,,,,,
*RICH:,⌊ I don't know ⌋ +... ,,,,,,,
*FRED:,because last week ,,,,,,,
,the gym was closed ,,,,,,,
,they're working on the c⌈eiling ⌉ . ,,,,,,,
*RICH:,                        ⌊ S⌋:o the last two weeks the gym was ⌈2 clo- ⌉2 . ,,,,,,,
*FRED:,                                                              ⌊2 Yeah the ⌋2 (.) ʔuh +/. ,,,,,,,
*FRED:,(.) The last two weeks the ⌈3 gym was closed ⌉3 . ,,,,,,,
*RICH:,                           ⌊3 And you haven't talked ⌋3 to Gary Holt at all ? ,,,,,,,
*FRED:,&=in &=lengthened (.) I haven't seen him this week . ,,,,,,,
*FRED:,(..) Uh: ,,,,,,,
,(..) I saw him last week ,,,,,,,
,and he told me they were still working on the gym . ,,,,,,,
*FRED:,But I haven't seen him this week . ,UI,T1,TI,T1,MATCH,,
*RICH:,(..) Yeah . ,,,,,,,
*RICH:,(..) I got a check coming tomorrow ,,,,,,,
,I have to go pick up . ,,,,,,,
*RICH:,So I'll probably be in there in the evening a⌈fter work ⌉ . ,,,,,,,
*FRED:,                                             ⌊ Where ,,,,,,,
,at f⌋ederal ? ,,,,,,,
*RICH:,(.) Yeah . ,,,,,,,
*RICH:,Either at five o'clock ,,,,,,,
,or three o'clock ,,,,,,,
,or: ,,,,,,,
,(..) we're getting paid tomorrow right ? ,,,,,,,
*FRED:,Yeah⌈: ⌉ ? ,,,,,,,
*RICH:,    ⌊ I got ⌋ my last . ,,,,,,,
*FRED:,You last ⌈2 what ⌉2 . ,,,,,,,
*RICH:,         ⌊2 One ⌋2 week check ,,,,,,,
,and one week vacation check . ,,,,,,,
*FRED:,(.) Oh ,,,,,,,
,not too bad . ,,,,,,,
*RICH:,&=in So it'll help me ,,,,,,,
,cause I don't have uh ,,,,,,,
,any steady income now . ,,,,,,,
*RICH:,If I don't sell ,,,,,,,
,I don't make money ,,,,,,,
,I got uh . ,,,,,,,
*FRED:,(..) You mean you don't g- +/. ,,,,,,,
*FRED:,(.) even get minimum ? ,,,,,,,
*RICH:,Well ,,,,,,,
,we get (..) six-hundred dollars a month . ,,,,,,,
*RICH:,(.) Three-hundred every two weeks . ,,,,,,,
*RICH:,Which isn't bad ,,,,,,,
,I mean ⌈ I could ⌉ . ,,,,,,,
*FRED:,       ⌊ No ⌋ . ,,,,,,,
*RICH:,I could . ,,,,,,,
*FRED:,(.) &=in ⌈ &=lengthened ⌉ . ,,,,,,,
*RICH:,         ⌊ Now that ⌋ I don't have to (.) pay rent . ,,,,,,,
*FRED:,(.) ⌈2 Yeah ⌉2 . ,,,,,,,
*RICH:,    ⌊2 I ⌋2 might be able to ,,,,,,,
,(..) pay my credit cards ,,,,,,,
,and my car payment ,,,,,,,
,and my insurance ,,,,,,,
,(..) with that six-hundred . ,,,,,,,
*RICH:,My car payment's two fifty-eight ,,,,,,,
,the insurance is a hundred a month ,,,,,,,
,that's three fifty-eight ,,,,,,,
,&=in &=lengthened (.) and maybe about three-hundred in uh: ,,,,,,,
,(..) credit cards a month . ,,,,,,,
*FRED:,So what does the Porsche have man . ,,,,,,,
*FRED:,Did they tell you at the shop ? ,,,,,,,
*RICH:,&=tsk (..) ⌈ In fact I have to call right ⌉ now . ,,,,,,,
*FRED:,           ⌊ What- (.) what you gotta do to ⌋ ? ,,,,,,,
*RICH:,Should I call right now ? ,,,,,,,
*FRED:,(..) Sure ,,,,,,,
,⌈ why not ⌉ . ,,,,,,,
*RICH:,⌊ Could I ⌋ call right here while +... ,,,,,,,
*FRED:,(..) Uh: . ,,,,,,,
*RICH:,(..) And you could hear me ,,,,,,,
,uh ,,,,,,,
,have the convers⌈ation on the phone ⌉ . ,,,,,,,
*FRED:,                ⌊ &{l=X Yeah: &}l=X ⌋ . ,,,,,,,
*RICH:,(..) Talking about my car ,,,,,,,
,because I have to get the car ,,,,,,,
,I don't what it's gonna cost ,,,,,,,
,but it had (..) problems uh ,UI,T4,UI,T1,UNMATCH,T4,
,(..) with the fuel injection system . ,,,,,,,
*FRED:,(..) Unhunh . ,,,,,,,
*RICH:,(..) So I have to have that fixed ,,,,,,,
,in order for me to get ,,,,,,,
,uh ,,,,,,,
,right now ,,,,,,,
,Jeanie's lending me the Samurai . ,,,,,,,
*FRED:,(..) Oh she's +... ,,,,,,,
*RICH:,Yeah . ,,,,,,,
*RICH:,She's being real cool . ,,,,,,,
*RICH:,And I've had it for three days and uh ,,,,,,,
,(..) that was very nice of her ,,,,,,,
,I appreciated her doing that for me . ,,,,,,,
*FRED:,She's (.) taking the Samurai . ,,,,,,,
*RICH:,She's taking her BMW ,,,,,,,
,every day to work . ,,,,,,,
*FRED:,But ,TI,T3,TI,T4,UNMATCH,T4,
,she's taking the Samurai . ,,,,,,,
*FRED:,F- (..) ⌈ from you ⌉ . ,,,,,,,
*RICH:,        ⌊ Yeah ⌋ . ,,,,,,,
*FRED:,B- because uh . ,,,,,,,
*RICH:,(..) I owed her money ,,,,,,,
,because she had an investment in the Porsche with me . ,,,,,,,
*FRED:,(..) Oh I see . ,,,,,,,
*FRED:,(..) &=in So ,,,,,,,
,(..) yeah . ,,,,,,,
*FRED:,(..) She gets the Samurai . ,,,,,,,
*FRED:,And you get the Porsche . ,,,,,,,
*RICH:,(..) Yeah . ,,,,,,,
*RICH:,A:n⌈:d uh ⌉ . ,,,,,,,
*FRED:,   ⌊ But your d⌋a:d . ,TI,T4,TI,I1,UNMATCH,T4,
*FRED:,Man ,,,,,,,
,he's not gonna like that ,,,,,,,
,too [% laugh] much [% laugh] I don't think . ,,,,,,,
*RICH:,(..) Why . ,,,,,,,
*FRED:,(..) Cause wasn't he the &{l=L2 garante &}l=L2 ? ,,,,,,,
*RICH:,(..) &=ex No ,,,,,,,
,he was the ,,,,,,,
,ʔuh: he had the insurance under his name . ,,,,,,,
*FRED:,(..) Just the insur⌈ance ⌉ . ,,,,,,,
*RICH:,                   ⌊ That⌋'s it . ,,,,,,,
*RICH:,So the car- +/. ,,,,,,,
*RICH:,The car's uh ,,,,,,,
,(..) you know ,,,,,,,
,I'm paying the car and everything and . ,,,,,,,
*FRED:,(..) Unhunh . ,,,,,,,
*FRED:,(..) But . ,UI,T4,TI,I2,UNMATCH,I2,
*RICH:,(..) I'm ⌈ letting her ⌉ +... ,,,,,,,
*FRED:,         ⌊ she doesn't wanna ⌋ move the BMW . ,,,,,,,
*FRED:,Right ? ,,,,,,,
*FRED:,She wants to keep ⌈ it there ⌉ . ,,,,,,,
*RICH:,                  ⌊ N:o ⌋ way ,,,,,,,
,that car's (..) paid off ,,,,,,,
,it's in excellent condition ,,,,,,,
,⌈ and uh ⌉ . ,,,,,,,
*FRED:,⌊ It's a ge⌋:m . ,,,,,,,
*RICH:,(..) &=DIALING_TONES ,,,,,,,
,(..) Yeah ,,,,,,,
,so she's gonna hang on to it ,,,,,,,
,but she's being real nice . ,UI,T1,UI,T1,MATCH,,
*RICH:,See that's why I know we're still (.) good friends ,,,,,,,
,because ⌈ if she ⌉ had any hard feelings for me . ,,,,,,,
*FRED:,        ⌊ Yeah ⌋ . ,,,,,,,
*RICH:,she'd say no . ,,,,,,,
*RICH:,That's my car ,,,,,,,
,you ⌈ know ⌉ . ,,,,,,,
*FRED:,    ⌊ ʔuh⌋: ʔuh: ʔuh You gotta see how you do . ,,,,,,,
*RICH:,Exactly . ,,,,,,,
*RICH:,(..) Do your own thing . ,,,,,,,
*RICH:,Right ? ,,,,,,,
*FRED:,(..) Yeah . ,,,,,,,
*FRED:,(..) Hunh . ,,,,,,,
*RICH:,(..) But she's being real nice . ,TI,T4,TI,T4,MATCH,,
*RICH:,That's why uh . ,,,,,,,
*FRED:,(..) &=in Hey you still got tickets ,,,,,,,
,for Celia Cruz ? ,,,,,,,
*FRED:,An⌈d Ti⌉to Puente ? ,,,,,,,
*RICH:,  ⌊ Yeah ⌋ ,,,,,,,
,Yeah ? ,,,,,,,
*FRED:,(.) &=in You gonna go ? ,,,,,,,
*RICH:,I think so . ,,,,,,,
*FRED:,Yeah ? ,,,,,,,
*FRED:,(.) Alright . ,,,,,,,
*FRED:,(..) That's gonna be a good show man ,,,,,,,
,⌈ I tell you . ,,,,,,,
*RICH:,⌊ Definetely ⌋ . ,,,,,,,
*FRED:,Ce⌉lia Cruz put⌈2s on a (.) good show ⌉2 . ,,,,,,,
*RICH:,               ⌊2 Oh ,,,,,,,
,(.) I sold ⌋2 +/. ,,,,,,,
*RICH:,(..) Yes ,,,,,,,
,is uh Kenny in ? ,,,,,,,
*RICH:,(..) Or is this Roger ? ,,,,,,,
*RICH:,(..) Okay uh ,,,,,,,
,Roger ,,,,,,,
,this is Richard Torres ,,,,,,,
,with the seventy-seven nine-eleven ,,,,,,,
,the silver one ? ,,,,,,,
*RICH:,(..) With the cold start problem ? ,,,,,,,
*RICH:,(..) Do you know uh ,,,,,,,
,if it's (.) been worked on or anything ? ,,,,,,,
*RICH:,(..) Unhunh ? ,,,,,,,
*RICH:,(..) ʔA- +/. ,,,,,,,
*RICH:,(..) Exhaust leak . ,,,,,,,
*RICH:,(..) Right . ,,,,,,,
*RICH:,(..) Okay . ,,,,,,,
*RICH:,(..) Um ,,,,,,,
,(..) w- ʔuh +/. ,,,,,,,
*RICH:,(..) Now this warmup regulator ,,,,,,,
,is that uh ,,,,,,,
,ʔuh: different than a cold start valve ? ,,,,,,,
*RICH:,(..) Oh . ,,,,,,,
*RICH:,(..) Yeah . ,,,,,,,
*RICH:,(..) Okay ,,,,,,,
,cause I did have one put in ,,,,,,,
,I think uh: ,,,,,,,
,(..) about three months ago or something ? ,,,,,,,
*RICH:,(..) I think you guys put it in . ,,,,,,,
*RICH:,I had the same problem . ,,,,,,,
*RICH:,(..) And ,,,,,,,
,it was like two-hundred bucks or something ? ,,,,,,,
*RICH:,(..) ʔI- is that the same problem now ? ,,,,,,,
*RICH:,(..) Oh okay . ,,,,,,,
*RICH:,(..) Oh okay s- +/. ,,,,,,,
*RICH:,(..) Okay so ,,,,,,,
,should I just call back in a little bit maybe ? ,,,,,,,
*RICH:,(..) Okay ,,,,,,,
,okay ,,,,,,,
,so I'll just call back in about ten or fifteen . ,,,,,,,
*RICH:,(..) Maybe he'll be there . ,,,,,,,
*RICH:,(..) Okay thanks Roger . ,,,,,,,
*RICH:,(..) Bye . ,,,,,,,
*FRED:,(..) So ,,,,,,,
,cold start regulator ,,,,,,,
,is ⌈ that it ⌉ ? ,,,,,,,
*RICH:,   ⌊ Oh ma⌋n ,,,,,,,
,I just had one put in . ,,,,,,,
*RICH:,Two-hundred bucks ⌈ for that ⌉ . ,,,,,,,
*FRED:,                  ⌊ Oh ⌋ . ,,,,,,,
*FRED:,Fuck . ,,,,,,,
*FRED:,(..) &=in &=laugh &=laugh &=laugh &=laugh &=laugh . ,,,,,,,
*RICH:,(..) &=ex ⌈ &=lengthened ⌉ . ,,,,,,,
*FRED:,          ⌊ &=in ⌋ That's an expensive car ,,,,,,,
,and then you gotta get the tags on it . ,,,,,,,
*FRED:,Right ? ,,,,,,,
*RICH:,I got everything . ,,,,,,,
*FRED:,You got everything ? ,,,,,,,
*RICH:,(..) I got everything taken care of . ,,,,,,,
*RICH:,I got insurance on it too . ,,,,,,,
*FRED:,(..) ⌈ How much in- ⌉ +... ,,,,,,,
*RICH:,     ⌊ Under my ⌋ name . ,,,,,,,
*RICH:,(..) Eleven-hundred a year . ,,,,,,,
*FRED:,Eleven-hundred . ,,,,,,,
*RICH:,(..) Three-hundred ⌈ dollars down ⌉ . ,,,,,,,
*FRED:,                   ⌊ That's cheap ⌋ man cause . ,,,,,,,
*RICH:,(.) I just ⌈2 got li⌉2ability . ,,,,,,,
*FRED:,           ⌊2 Tri- ⌋2 +/. ,,,,,,,
*FRED:,Triple A wanted to give me ,,,,,,,
,(..) you know ,,,,,,,
,insurance ,,,,,,,
,(.) ʔuh eleven-hundred too man . ,,,,,,,
*RICH:,Yeah⌈: . ,,,,,,,
*FRED:,    ⌊ ʔuh (.) ʔOn the fucking +... ,,,,,,,
*RICH:,(.) For a regu- +/. ,,,,,,,
*RICH:,for a Dodge ⌉ . ,,,,,,,
*FRED:,(.) on +/. ,,,,,,,
*FRED:,ʔuh ⌋ On a- +/. ,,,,,,,
*FRED:,on ,,,,,,,
,(.) Aries man . ,,,,,,,
*RICH:,But you were gonna get full coverage . ,TI,T3,TI,I1,UNMATCH,T3,
*RICH:,You know ? ,,,,,,,
*FRED:,(..) Uh: ,,,,,,,
,I don't remem⌈ber ⌉ . ,,,,,,,
*RICH:,             ⌊ I ⌋ just got liability . ,,,,,,,
*FRED:,Just liability . ,,,,,,,
*RICH:,Which is: (.) good enough . ,,,,,,,
*RICH:,(.) At leas⌈t it's ins⌉ured . ,,,,,,,
*FRED:,           ⌊ Yeah ⌋ . ,,,,,,,
*RICH:,if anything happens to anybody else . ,,,,,,,
*FRED:,For sure &=ex . ,,,,,,,
*RICH:,(..) But uh: ,TI,I2,TI,I2,MATCH,,
,(..) no I took care of the th- registration ,,,,,,,
,I registered under my name and everything ,,,,,,,
,and uh ,,,,,,,
,got my tags for eighty-eight . ,,,,,,,
*FRED:,(..) Yeah . ,,,,,,,
*RICH:,(..) And ,,,,,,,
,got custom plates on it . ,,,,,,,
*FRED:,How much did the tags cost you . ,,,,,,,
*FRED:,(..) ⌈ Mu- ⌉ +... ,,,,,,,
*RICH:,     ⌊ Fif⌋ty-one bucks . ,,,,,,,
*FRED:,(.) Cheaper than mine . ,,,,,,,
*FRED:,Mine cost me sixty ⌈ bucks ⌉ . ,,,,,,,
*RICH:,                   ⌊ And I didn't ⌋ have to pay any sales tax . ,,,,,,,
*RICH:,When I registered the car . ,,,,,,,
*FRED:,Yeah ? ,,,,,,,
*FRED:,How come . ,,,,,,,
*FRED:,(.) Oh you did it ,,,,,,,
,like you said you were gonna do ? ,,,,,,,
*RICH:,(..) Jeanie gave it to me as a gift . ,,,,,,,
*FRED:,Alrigh:t homes . ,,,,,,,
*FRED:,&=laugh ⌈ &=laugh &=laugh &=laugh &=laugh &=laugh &=laugh ⌉ . ,,,,,,,
*RICH:,        ⌊ She +/. ,,,,,,,
*RICH:,she backed me up ⌋ . ,,,,,,,
*RICH:,She's (.) being cool . ,,,,,,,
*FRED:,&=in Yeah⌈: ⌉ . ,,,,,,,
*RICH:,         ⌊ She put ⌋ ,,,,,,,
,that I gave this car to Richard Torres for a gift ? ,,,,,,,
*RICH:,&=in So I didn't have to pay any sales t⌈ax . ,,,,,,,
*FRED:,                                        ⌊ Tax ⌋ . ,,,,,,,
*RICH:,Otherwise ⌉ I would've d- (.) got stuck ,,,,,,,
,three-hundred dollars just in sales tax alone . ,,,,,,,
*RICH:,&=in &=lengthened (..) And uh ,,,,,,,
,I got custom plates on it . ,,,,,,,
*FRED:,What- +/. ,,,,,,,
*FRED:,What does it say⌈: ⌉ . ,,,,,,,
*RICH:,                ⌊ &=tsk ⌋ Hustlin . ,,,,,,,
*FRED:,(..) Hustlin . ,,,,,,,
*FRED:,(.) &=laugh &=laugh &=laugh &=laugh &=laugh &=laugh &=laugh &=laugh &=laugh &=in ,,,,,,,
,Nobody [% laugh] else had that . ,,,,,,,
*RICH:,(..) ⌈ Thirty-six ⌉ bucks a year . ,,,,,,,
*FRED:,     ⌊ &=in ⌋ ,,,,,,,
,(.) &=laugh &=laugh ⌈2 &=in ⌉2 . ,,,,,,,
*RICH:,                    ⌊2 But ⌋2 that's a good ⌈3 one . ,TI,T4,TI,T1,UNMATCH,T1,
*FRED:,                                            ⌊3 &=in ⌋3 . ,,,,,,,
*RICH:,for that⌉3's what I'm doing now . ,,,,,,,
*RICH:,That's ⌈4 my life . ,,,,,,,
*FRED:,       ⌊4 Yeah ,,,,,,,
,really ⌋4 . ,,,,,,,
*RICH:,I gotta ⌉4 hustle to make money . ,,,,,,,
*RICH:,If I don't hustle ,,,,,,,
,I'm not gonna make money . ,,,,,,,
*FRED:,(..) &=in Yeah . ,,,,,,,
*RICH:,(..) &=in &=lengthened But everything's ,TI,T4,TI,T4,MATCH,,
,Everything's hap- +/. ,,,,,,,
*RICH:,ʔuh: ʔYou know ,,,,,,,
,fell into place pretty good . ,,,,,,,
*RICH:,(..) I mean ,,,,,,,
,(..) things happen for a reason . ,,,,,,,
*RICH:,(.) N- this +/. ,,,,,,,
*RICH:,The situation that I'm in happened for a reason ,,,,,,,
,I changed my career ,,,,,,,
,(..) &=tsk &=in (..) I took care of everything I had to take care of with the car ,,,,,,,
,(..) &=tsk (..) A:nd uh: ,,,,,,,
,now I'm gonna ,,,,,,,
,(.) j- save my money and ,,,,,,,
,try to get my own pad . ,,,,,,,
*RICH:,(..) ⌈ Cond⌉ominium or whatever the case may be . ,,,,,,,
*FRED:,     ⌊ X ⌋ . ,,,,,,,
*RICH:,(..) I'm gonna be: (.) saving a lotta money working here ,,,,,,,
,so: if I'm making decent money ,,,,,,,
,I'll be able to uh ,,,,,,,
,(..) &=in . ,,,,,,,
*FRED:,(..) To⌈: ⌉ +... ,,,,,,,
*RICH:,       ⌊ get some⌋thing on my own . ,,,,,,,
*FRED:,(..) Yeah . ,,,,,,,
*RICH:,(..) W:ith the help of my parents of course ,,,,,,,
,because⌈: ⌉ . ,,,,,,,
*FRED:,       ⌊ Wh⌋en you say it happens for a reason ,,,,,,,
,it's like ,,,,,,,
,(..) it happened ,,,,,,,
,to get you off +... ,,,,,,,
*RICH:,(..) Off my a:ss⌈: . ,,,,,,,
*FRED:,                ⌊ Off your- ⌋ +... ,,,,,,,
*RICH:,Get me ⌉ out of the factory ,,,,,,,
,get me into a career that I can make good money ,,,,,,,
,and uh ,,,,,,,
,(.) to realize that uh ,,,,,,,
,(..) I had a good woman ,,,,,,,
