speaker,script,position1,function1,position2,function2,match,agreement,corpus
,I'll be studying and uh,,,,,,,sbcsae
,but in a sense,UI,T4,UI,T4,MATCH,T4,sbcsae
,I need uh,,,,,,,sbcsae
,some type of steady income,,,,,,,sbcsae
*FRED:,But,TI,I2,TI,I2,MATCH,I2,sbcsae
,but uh,TI,I2,TI,I2,MATCH,I2,sbcsae
,you s,,,,,,,sbcsae
*FRED:,Th the competition man,,,,,,,sbcsae
*FRED:,I mean,,,,,,,sbcsae
,is it real tough,,,,,,,sbcsae
*FRED:,Like,,,,,,,sbcsae
,on the lot,,,,,,,sbcsae
*RICH:,Yeah,,,,,,,sbcsae
,it is,,,,,,,sbcsae
*RICH:,There's def,,,,,,,sbcsae
*RICH:,And there's guys that've been doing that four or five years,,,,,,,sbcsae
,and,,,,,,,sbcsae
*FRED:,And they're real good at i t,,,,,,,sbcsae
*RICH:,th at are real good at it,,,,,,,sbcsae
,and they know how to talk to the people,,,,,,,sbcsae
,and they know that,,,,,,,sbcsae
,when somebody's coming in,,,,,,,sbcsae
,if they're buying or not,,,,,,,sbcsae
*FRED:,Oh,,,,,,,sbcsae
,they could tell right away,,,,,,,sbcsae
*RICH:,Yeah but that all comes with time,UI,T4,UI,T4,MATCH,T4,sbcsae
*RICH:,You know,,,,,,,sbcsae
,and,,,,,,,sbcsae
*FRED:,Yeah,,,,,,,sbcsae
*RICH:,and they're pretty helpful with me,,,,,,,sbcsae
,and uh,,,,,,,sbcsae
,you know it'll all come in time,,,,,,,sbcsae
*RICH:,Right,,,,,,,sbcsae
,I I figure,,,,,,,sbcsae
,the more cards I get out,,,,,,,sbcsae
,the more people I talk to,,,,,,,sbcsae
,n the more cars I'm gonna sell,,,,,,,sbcsae
*RICH:,Just all comes with time,,,,,,,sbcsae
*RICH:,Once I get my experience,,,,,,,sbcsae
,I'll be up there too in the top four salesman,,,,,,,sbcsae
*RICH:,,,,,,,,sbcsae
*FRED:,Your parents don't know yet,,,,,,,sbcsae
*FRED:,Hunh,,,,,,,sbcsae
*RICH:,No,,,,,,,sbcsae
*RICH:,They'll know when they come back,,,,,,,sbcsae
*FRED:,I,,,,,,,sbcsae
*FRED:,and I think my dad told me yesterday,,,,,,,sbcsae
,they're coming back the fifteenth,,,,,,,sbcsae
*FRED:,or sixteenth,,,,,,,sbcsae
*RICH:,Yeah,,,,,,,sbcsae
*RICH:,definite,,,,,,,sbcsae
