speaker,script,position1,function1,position2,function2,match,agreement,corpus
*DANA:,I thought they were gonna be back by now,,,,,,,sbcsae
*KELL:,You didn't hear em playing last night,,,,,,,sbcsae
*DANA:,I know,,,,,,,sbcsae
*KELL:,Where did they go,,,,,,,sbcsae
*DANA:,They went out to dinner with Arianna's parents,,,,,,,sbcsae
*KELL:,Arianna's parents,,,,,,,sbcsae
*KELL:,Yeah,,,,,,,sbcsae
*KELL:,That was her grandma on the phone,,,,,,,sbcsae
*DANA:,They left at like,,,,,,,sbcsae
,quarter of eight,,,,,,,sbcsae
*KELL:,Mm,,,,,,,sbcsae
*KELL:,Maybe they went shopping,,,,,,,sbcsae
*KELL:,First,,,,,,,sbcsae
,and then went to dinner,,,,,,,sbcsae
*DANA:,I think they're hanging out,,,,,,,sbcsae
*DANA:,With,,,,,,,sbcsae
*KELL:,,,,,,,,sbcsae
*DANA:,the Callahans,,,,,,,sbcsae
*DANA:,Gotta have some of my sister's bread,,,,,,,sbcsae
*DANA:,It is so good,,,,,,,sbcsae
*KELL:,What,,,,,,,sbcsae
*KELL:,Is it like regular bread,,,,,,,sbcsae
,or is it,,,,,,,sbcsae
*DANA:,No,,,,,,,sbcsae
*DANA:,Molasses,,,,,,,sbcsae
*KELL:,Oh,,,,,,,sbcsae
*DANA:,Oh,,,,,,,sbcsae
,I love this bread,,,,,,,sbcsae
*DANA:,,,,,,,,sbcsae
,It's so good,,,,,,,sbcsae
*DANA:,Oh,,,,,,,sbcsae
*KELL:,You should make it,,,,,,,sbcsae
*DANA:,No,,,,,,,sbcsae
,I don't know how to make it,,,,,,,sbcsae
*KELL:,That is the cutest cutting board,,,,,,,sbcsae
*KELL:,Isn't it,,,,,,,sbcsae
*DANA:,I know ,,,,,,,sbcsae
*KELL:,I love it,,,,,,,sbcsae
*DANA:,,,,,,,,sbcsae
,Little piggies,,,,,,,sbcsae
*DANA:,You wanna piece of toast,,,,,,,sbcsae
*KELL:,Sure,,,,,,,sbcsae
*DANA:,Here,,,,,,,sbcsae
*DANA:,Try some of it first,,,,,,,sbcsae
*KELL:,,,,,,,,sbcsae
,It's different,,,,,,,sbcsae
*KELL:,I like it,,,,,,,sbcsae
*KELL:,When'd she start making this,,,,,,,sbcsae
*DANA:,I don't know,,,,,,,sbcsae
,Kinda like couple years ago,,,,,,,sbcsae
*KELL:,Mm,,,,,,,sbcsae
*KELL:,Does she always come home in the summer,,,,,,,sbcsae
*KELL:,From school,,,,,,,sbcsae
*DANA:,Mhm,,,,,,,sbcsae
*KELL:,Oh really,,,,,,,sbcsae
*DANA:,,,,,,,,sbcsae
,,,,,,,,sbcsae
,Cause,,,,,,,sbcsae
,she gets really homesick,,,,,,,sbcsae
