speaker,script,position1,function1,position2,function2,match,agreement,corpus
*GARY:,Do you smell the dog on me,,,,,,,sbcsae
*GARY:,Yeah,,,,,,,sbcsae
*GARY:,Okay,,,,,,,sbcsae
*GARY:,down boy,,,,,,,sbcsae
*GARY:,Down boy,,,,,,,sbcsae
*GARY:,Mm kay,,,,,,,sbcsae
*GARY:,Jamie wrote this out,,,,,,,sbcsae
,in a hurry this morning,,,,,,,sbcsae
*JULI:,Yeah,,,,,,,sbcsae
,she said she thought she had,,,,,,,sbcsae
,gotten a brand inspection done,,,,,,,sbcsae
,since she got to Colorado,,,,,,,sbcsae
*JULI:,But then she said she didn't know where it was and,UI,T4,UI,T4,MATCH,T4,sbcsae
,that's what he wanted to know,,,,,,,sbcsae
*GARY:,I've never heard of it,,,,,,,sbcsae
*GARY:,So,,,,,,,sbcsae
*JULI:,P he uh,,,,,,,sbcsae
*JULI:,That's what I need to know,,,,,,,sbcsae
,he said if there was a prior brand inspection,,,,,,,sbcsae
,then he would have to go off of that one,,,,,,,sbcsae
*MATT:,l,,,,,,,sbcsae
*JULI:,If there was no prior brand inspection,,,,,,,sbcsae
*MATT:,,,,,,,,sbcsae
*JULI:,then he could just go off of this,,,,,,,sbcsae
,and issue me a new one,,,,,,,sbcsae
*GARY:,If,,,,,,,sbcsae
*GARY:,Is there a brand inspection,,,,,,,sbcsae
,if we bring one in from out of state,,,,,,,sbcsae
*JULI:,Well,,,,,,,sbcsae
,she said since it was not required in California when she bought the pony,,,,,,,sbcsae
,which it is now,,,,,,,sbcsae
,they reinstated it about a year ago,,,,,,,sbcsae
*GARY:,Oh,,,,,,,sbcsae
*JULI:,She,,,,,,,sbcsae
*JULI:,I thought she said she had had one done here,,,,,,,sbcsae
*GARY:,Oh,,,,,,,sbcsae
*JULI:,But,TI,T4,TI,T4,MATCH,T4,sbcsae
,if she didn't,,,,,,,sbcsae
*GARY:,I wouldn't know,,,,,,,sbcsae
*JULI:,you know,,,,,,,sbcsae
*GARY:,I don't do any horse things,,,,,,,sbcsae
*JULI:,I just need,,,,,,,sbcsae
*JULI:,All I need to kn ow is,,,,,,,sbcsae
,if she ever had one done,,,,,,,sbcsae
,or if she didn't,,,,,,,sbcsae
*JULI:,He said,,,,,,,sbcsae
,if she didn't have one done,,,,,,,sbcsae
,sh he'll just go off the papers,,,,,,,sbcsae
*GARY:,Yeah,,,,,,,sbcsae
*JULI:,And this,,,,,,,sbcsae
*GARY:,These papers here,,,,,,,sbcsae
*JULI:,Unhunh,,,,,,,sbcsae
*GARY:,Okay,,,,,,,sbcsae
*JULI:,And I sent in the l papers to be,,,,,,,sbcsae
