@Begin,Script,Position1,Function1,Position2,Function2,MATCH,AGREEMENT
*SEAN:,                ⌊ In ⌋ +/. ,,,,,,
*SEAN:,(.) ⌈2 Yeah . ,,,,,,
*FRAN:,    ⌊2 Right o:n the sea: ⌋2 . ,,,,,,
*SEAN:,I saw pictures ⌉2 . ,,,,,,
*FRAN:,It was beautiful . ,,,,,,
*FRAN:,(..) &=in But the poo:r house ,UI,T2,UI,T2,MATCH,
,was in fucking (.) Fort My⌈ers Beach [% laugh] . ,,,,,,
*ALIC:,                          ⌊ XXX curbs . ,,,,,,
*FRAN:,&=laugh &=laugh &=laugh &=laugh &=laugh &=laugh ⌉ . ,,,,,,
*ALIC:,(.) they have ramps on all the ⌋ curbs for the wheelchairs . ,,,,,,
*FRAN:,&=in (.) Yes⌈2: [% laugh] . ,,,,,,
*ALIC:,            ⌊2 &=laugh &=ex ⌋2 . ,,,,,,
*FRAN:,(.) Right ⌉2 ,,,,,,
,We had to ,,,,,,
,(..) W- i- the building code ,,,,,,
,you have to have a ramp [% laugh] ,,,,,,
,&=laugh ⌈ &=laugh &=laugh &=laugh &=laugh &=laugh ⌉ . ,,,,,,
*ALIC:,        ⌊ &=laugh &=laugh &=laugh &=laugh &=laugh ⌋ . ,,,,,,
*FRAN:,&=laugh &=in ,,,,,,
,But ⌈ anyway uh ⌉ . ,UI,T4,UI,T4,MATCH,
*ALIC:,    ⌊ You know ,,,,,,
,handicap ⌋ bars on your bathroom- . ,,,,,,
*ALIC:,In your ⌈2 bathroom ⌉2 . ,,,,,,
*FRAN:,        ⌊2 That's ⌋2 right ,,,,,,
,(..) &=in ⌈3 But uh ⌉3 . ,UI,T4,UI,T4,MATCH,
*ALIC:,          ⌊3 &=laugh &=ex &=laugh ⌋3 . ,,,,,,
*FRAN:,But ,UI,T4,UI,T4,MATCH,
,w:e didn't like it . ,,,,,,
*FRAN:,At all . ,,,,,,
*FRAN:,And so ,,,,,,
,that's when we said ,,,,,,
,(.) well let's not do anything precipitous ,,,,,,
,like we did moving down here ,,,,,,
,&=in before we race back to New York ,,,,,,
,(..) let's look around a little bit . ,,,,,,
*FRAN:,(..) So we: hit the road . ,,,,,,
*FRAN:,And we stayed out for a couple ⌈ years . ,,,,,,
*SEAN:,                               ⌊ Two years they'd been looking ⌋ . ,,,,,,
*FRAN:,looking all over ⌉ . ,,,,,,
*SEAN:,(..) ⌈2 for other places ⌉2 . ,,,,,,
*ALIC:,     ⌊2 Looking (.) round ⌋2 ,,,,,,
,(..) Really ? ,,,,,,
*ALIC:,And +... ,,,,,,
*FRAN:,Unhunh ? ,,,,,,
*FRAN:,(..) Round the US: . ,,,,,,
*ALIC:,(..) Wow: . ,,,,,,
*FRAN:,(.) And we ,,,,,,
,(.) ⌈ kept finding these nice places ⌉ . ,,,,,,
*ENV:,    ⌊ &=DOG_BARKING ⌋ . ,,,,,,
*FRAN:,And we'd say ,,,,,,
,&=in &{l=VOX isn't this place nice &}l=VOX ? ,,,,,,
*FRAN:,And ,,,,,,
,(..) Larry would say ,,,,,,
,&{l=VOX yes ,,,,,,
,it's lovely . ,,,,,,
*FRAN:,Look at these beautiful homes . ,,,,,,
*FRAN:,Isn't that nice ? ,,,,,,
*FRAN:,ʔYes ? ,,,,,,
*FRAN:,Isn't that nice ? ,,,,,,
*FRAN:,Isn't that nice &}l=VOX ? ,,,,,,
*FRAN:,(..) &{l=VOX &{l=P Yeah ,,,,,,
,but it's not New York &}l=P &}l=VOX . ,UI,T1,UI,T1,MATCH,
*BERN:,⌈ It's ⌉ +... ,,,,,,
*FRAN:,⌊ &=laugh ⌋ &=laugh &=laugh &=laugh ⌈2 &=laugh &=in &=lengthened ⌉2 . ,,,,,,
*ALIC:,                                    ⌊2 You w- ⌋2 +/. ,,,,,,
*ALIC:,(.) Wow . ,,,,,,
*FRAN:,And so we'd (..) drive on . ,,,,,,
*FRAN:,(.) We found lots of places that we like to sp⌈end ⌉ +... ,,,,,,
*BERN:,                                              ⌊ Oh ,,,,,,
,if ⌋ New York's under your skin ,,,,,,
,watch out . ,,,,,,
*FRAN:,ʔuh Yeah ,,,,,,
,⌈ it's like a drug ⌉ . ,,,,,,
*BERN:,⌊ You can't get out ⌋ . ,,,,,,
*BERN:,(..) It +/. ,,,,,,
*BERN:,(.) It ⌈ i:s . ,,,,,,
*FRAN:,       ⌊ You're finished ⌋ . ,,,,,,
*BERN:,(.) It ⌉ (..) i:s a drug . ,,,,,,
*FRAN:,(..) That's it . ,,,,,,
*FRAN:,(.) You're consigned ,,,,,,
,the r⌈est of your life . ,,,,,,
*ALIC:,     ⌊ Do they have New York AA ? ,,,,,,
*FRAN:,(..) to ludicrous rents ⌉ . ,,,,,,
*ALIC:,(.) &{l=X You know &}l=X ,,,,,,
,&=laugh &=laugh ,,,,,,
,&=in or maybe ⌋ they've been to New Y⌈2ork . ,,,,,,
*BERN:,                                     ⌊2 Well . ,,,,,,
*ALIC:,&=laugh ⌉2 . ,,,,,,
*BERN:,they ⌋2 do . ,,,,,,
*ALIC:,(.) &=in . ,,,,,,
*BERN:,Don't they . ,,,,,,
*BERN:,They have their own ver- +/. ,,,,,,
*BERN:,(.) They- +... ,,,,,,
*ALIC:,⌈ &=laugh &=ex &{l=@ Get me outa ⌉ New York &}l=@ . ,,,,,,
*BERN:,⌊ They do ⌋ . ,,,,,,
*ALIC:,&{l=@ Got- (.) ⌈2 gotta get ⌉2 outa this place &}l=@ . ,,,,,,
*FRAN:,               ⌊2 We have so- ⌋2 +/. ,,,,,,
*FRAN:,(..) We- +/. ,,,,,,
*FRAN:,(.) What +... ,,,,,,
*ALIC:,(..) I'm a New ⌈ York-a (.) holic ⌉ . ,,,,,,
*FRAN:,               ⌊ &{l=X Weren't we saying &}l=X ⌋ . ,,,,,,
*BERN:,               ⌊ No she's s- ⌋ +/. ,,,,,,
*BERN:,She's asking if they have ,,,,,,
,th:ey should have an addiction to New York . ,,,,,,
*SEAN:,Or +... ,,,,,,
*FRAN:,Oh ,,,,,,
,New Yorkers Ano⌈nymous ⌉ . ,,,,,,
*SEAN:,               ⌊ Or if they have ⌋ like a ,,,,,,
,special kind of like ,,,,,,
,yeah . ,,,,,,
*FRAN:,(..) ⌈ Yeah⌉⌈2: ⌉2 . ,,,,,,
*ALIC:,     ⌊ &{l=X Didn't ⌋ ⌊2 matter ⌋2 ⌈3 X &}l=X ⌉3 +... ,,,,,,
*BERN:,            ⌊2 But they ⌋2         ⌊3 do ⌋3 ⌈4 have a . ,TI,T4, TI,T4,MATCH,
*SEAN:,                                            ⌊4 But in fact . ,TI,I1,TI ,I1,MATCH,
*BERN:,they do have an AA . ,,,,,,
*SEAN:,AA is dif- +/. ,,,,,,
*SEAN:,complete⌋4ly different in New ⌈5 York City ⌉5 . ,,,,,,
*BERN:,which is ⌉4 ,,,,,,
,                            ⌊5 different ⌋5 . ,,,,,,
*SEAN:,than it is ⌈6 anywhere else ⌉6 in the world . ,,,,,,
*BERN:,           ⌊6 That's right ⌋6 . ,,,,,,
*FRAN:,(..) &=in Well the Vil⌈7lage ⌉7 ⌈8 is ⌉8 +... ,,,,,,
*BERN:,                      ⌊7 Don't you ⌋7 ⌊8 think ⌋8 ? ,,,,,,
*SEAN:,                                ⌊8 Much ⌋8 ⌈9 more exciting ⌉9 . ,,,,,,
*FRAN:,                                           ⌊9 Yes ,,,,,,
,it's t⌋9rue: . ,,,,,,
*SEAN:,(..) ⌈ better ⌉ speak- +... ,,,,,,
*ALIC:,     ⌊ &{l=X Really &}l=X ⌋ ? ,,,,,,
*FRAN:,(..) Well ,,,,,,
,the th⌈ing that ⌉ +... ,,,,,,
*SEAN:,      ⌊ &{l=VOX &{l=HI Oh the ⌋ best speakers in ⌈2 the wor:ld &}l=HI ⌉2 . ,,,,,,
*BERN:,                                                 ⌊2 You know ,,,,,,
,you know what ⌋2 the saying in AA is . ,,,,,,
*SEAN:,⌈3 Because you have all those famous (..) people &}l=VOX ⌉3 . ,,,,,,
*BERN:,⌊3 If you can ,,,,,,
,(.) or in New York ,,,,,,
,we- we've always ⌋3 heard that the saying is ,,,,,,
,⌈4 if you can stay . ,,,,,,
*ENV:,⌊4 &=DOG_WHINING ⌋4 . ,,,,,,
*BERN:,(.) New Yorkers say ,,,,,,
,if you can stay ⌉4 sober in AA ,,,,,,
,you can stay ⌈5 sober ⌉5 anywhere . ,,,,,,
*ENV:,             ⌊5 &=DOG_WHINING ⌋5 . ,,,,,,
*FRAN:,&=laugh ⌈6 &=laugh &=laugh &=laugh It's [% laugh] ⌉6 true [% laugh] . ,,,,,,
*BERN:,        ⌊6 &=laugh &=laugh &=laugh &=laugh &=laugh ⌋6 . ,,,,,,
*FRAN:,&=laugh &=laugh &=laugh &=laugh &=in ,,,,,,
,⌈ And ⌉ we even say that about certain meet⌈2ings . ,,,,,,
*ENV:,⌊ &=DOG_YELP ⌋ ,,,,,,
,                                         ⌊2 &=DOG_YELP ⌋2 . ,,,,,,
*FRAN:,If ⌉2 ⌈3 you can stay sober at ⌉3 . ,,,,,,
*SEAN:,      ⌊3 Plus really smart people- ⌋3 . ,,,,,,
*BERN:,&{l=F Jessa . ,,,,,,
*BERN:,(..) Calm down &}l=F . ,,,,,,
*SEAN:,(..) You know . ,,,,,,
*BERN:,Quit that crying . ,,,,,,
*FRAN:,Well New Yorkers are extr:emely candid . ,,,,,,
*F+A660:B682RAN:,(..) A:nd ,,,,,,
,also ,,,,,,
,(..) very ,,,,,,
,(..) emotionally accessible . ,,,,,,
*FRAN:,(..) Which (.) is not the reputation we have outsi:de . ,,,,,,
*FRAN:,Of New York . ,,,,,,
*FRAN:,(.) &=in But ,UI,T4,UI,T1,UNMATCH,T4
,(..) you know . ,,,,,,
*FRAN:,(..) I mean ,,,,,,
,if you ask a cab driver ,,,,,,
,if he speaks English . ,,,,,,
*FRAN:,Okay ,,,,,,
,let's assume you got one who speaks English . ,,,,,,
*FRAN:,&=in And he's sorta been a little bit (.) acculturated . ,,,,,,
*FRAN:,(..) &{l=% you know &}l=% . ,,,,,,
*FRAN:,&=in But if you g- +/. ,UI,T4,UI,T4,MATCH,
*FRAN:,(.) Not- not the (..) Pakistanis fresh off the ,,,,,,
,(..) ⌈ off the ⌉ boat . ,,,,,,
*ALIC:,     ⌊ Yeah ⌋ . ,,,,,,
*FRAN:,o:r any of that . ,,,,,,
*FRAN:,You know ,,,,,,
,&=in but you get your basic (.) New York cab dri⌈ver . ,UI,T4,UI,T3,UNMATCH,T3
*SEAN:,                                                ⌊ They talk ⌋ . ,,,,,,
*FRAN:,and you ⌉ ,,,,,,
,&=in You say ,,,,,,
,you know ,,,,,,
,how's it going . ,,,,,,
*FRAN:,He'll te⌈ll you ⌉ . ,,,,,,
*SEAN:,        ⌊ Yep ⌋ he- +/. ,,,,,,
*SEAN:,(..) Unhunh ? ,,,,,,
*FRAN:,(..) You know ? ,,,,,,
*FRAN:,(..) I mean ,,,,,,
,(.) &{l=HI I had one guy ,,,,,,
,he talked to me the whole time I was dr- &}l=HI ,,,,,,
,&=in (.) about this new diet he was on ,,,,,,
,(.) and ,,,,,,
,he ate ʔapples ,,,,,,
,and his wife was really happy ,,,,,,
,and ,,,,,,
,&=in and their sex life had improved ,,,,,,
,and ,,,,,,
,and this is a guy like seventy years old ,,,,,,
,or something ,,,,,,
,he'd been driving a cab for forty years ,,,,,,
,and proud of it ,,,,,,
,and ,,,,,,
,&=in his kids went through this school and that s- ,,,,,,
,&=in I mean ,,,,,,
,(.) ve:ry open . ,,,,,,
*FRAN:,And ,,,,,,
,&=in the +/. ,,,,,,
*FRAN:,But the r- +/. ,UI,T4,UI,T4,MATCH,
*FRAN:,(..) The new +/. ,,,,,,
*FRAN:,The b- New Yorker is (.) usually in a hurry . ,,,,,,
*FRAN:,(..) And so they'll te:ll you anything ,,,,,,
,they'll gi:ve you anything . ,,,,,,
*FRAN:,But just hurry up and tell em ex⌈a:ctly what you want ⌉ . ,UI,T4,UI,T4,MATCH,
*ALIC:,                                ⌊ I (.) I can never ⌋ get a cab in New York . ,,,,,,
*ALIC:,Cause everybody takes it away from me . ,,,,,,
*BERN:,(.) ⌈ &=laugh &=lengthened &=laugh &=laugh ⌉ . ,,,,,,
*ALIC:,    ⌊ I mean (.) when I am ,,,,,,
,(.) I'm ⌋ just there for hou:rs ,,,,,,
,fo- i- wi- +... ,,,,,,
*BERN:,Y- you ⌈ gotta ⌉ ju⌈2:mp . ,,,,,,
*ALIC:,       ⌊ I [% laugh] ⌋ +/. ,,,,,,
*ALIC:,                   ⌊2 I can't do it ⌋2 . ,,,,,,
*BERN:,Yeah ⌉2 . ,,,,,,
*ALIC:,(..) ⌈3 I go ⌉3 . ,,,,,,
*BERN:,     ⌊3 It's a ⌋3 +... ,,,,,,
*ALIC:,Okay ,,,,,,
,I'm outa here . ,,,,,,
*ALIC:,(..) &{l=@ If you don't wanna take me ,,,,,,
,I won⌈'t go &=in &}l=@ ⌉ . ,,,,,,
*FRAN:,     ⌊ &=laugh &=laugh &=laugh &=laugh &=laugh ⌋ . ,,,,,,
*ALIC:,(.) I just can't get a cab . ,,,,,,
*SEAN:,Well how do you get around . ,,,,,,
*ALIC:,(..) I just wait for that hour . ,,,,,,
*ALIC:,Un⌈til ⌉ . ,,,,,,
*SEAN:,  ⌊ Oh ⌋ . ,,,,,,
*BERN:,⌈2 &=laugh &=laugh &=laugh &=laugh &=laugh ⌉2 . ,,,,,,
*ALIC:,⌊2 you know ,,,,,,
,it's like two A⌋2M . ,,,,,,
*ALIC:,Okay ,,,,,,
,no one is here ,,,,,,
,no competition . ,,,,,,
*ALIC:,I'm gonna get this cab . ,,,,,,
*BERN:,(.) &=laugh &=in &=lengthened . ,,,,,,
*ALIC:,&=in (.) ⌈ My kids said ⌉ . ,,,,,,
*BERN:,         ⌊ Oh: ⌋ . ,,,,,,
*ALIC:,(..) &{l=VOX come o:n ,,,,,,
,you're &}l=VOX +/. ,,,,,,
*ALIC:,&{l=WH I said ,,,,,,
,(..) I'm doing the best I ⌈ can &}l=WH ⌉ . ,,,,,,
*SEAN:,                          ⌊ &=laugh ⌋ ⌈2 &=laugh ⌉2 . ,,,,,,
*BERN:,                                      ⌊2 &=laugh ⌋2 ⌈3 &=laugh &=laugh &=laugh &=laugh &=laugh ⌉3 . ,,,,,,
*ALIC:,                                      ⌊2 &{l=P You know &}l=P ⌋2 ,,,,,,
,                                                  ⌊3 &=in I really am ⌋3 ,,,,,,
,this is me: being as⌈4sertive [% laugh] . ,,,,,,
*BERN:,                    ⌊4 &{l=MRC Jump (.) out &}l=MRC . ,,,,,,
*ALIC:,&=laugh &=laugh &=laugh &=in ⌉4 . ,,,,,,
*BERN:,and open the ⌋4 door fa⌈5st . ,,,,,,
*FRAN:,                       ⌊5 Well there's also a ⌋5 lighting system . ,,,,,,
*BERN:,(.) &{l=P &=laugh &=laugh &=laugh &}l=P ⌉5 . ,,,,,,
*FRAN:,that if you ⌈6 don't un⌉6derstand it . ,,,,,,
*ALIC:,            ⌊6 Ah ⌋6 . ,,,,,,
*FRAN:,it's confusing . ,,,,,,
*FRAN:,Because ,,,,,,
,there:'s a light on the top ,,,,,,
,that tells you if they're on duty or off duty ,,,,,,
,&=in and if they have a fare or not . ,,,,,,
*FRAN:,&=in And you can wave forever ,,,,,,
,and if they have fares ,,,,,,
,they- c- (.) they w⌈on't stop ⌉ . ,,,,,,
*ALIC:,                   ⌊ No ,,,,,,
,they would ⌋ always stop and ,,,,,,
,(.) I would get em ,,,,,,
,it's just the person behind [% laugh] me [% laugh] ,,,,,,
,pushing [% laugh] me out of the way . ,,,,,,
*ALIC:,Getting into the ⌈ cab ⌉ . ,,,,,,
*FRAN:,                 ⌊ Where ⌋ were you ,,,,,,
,in front of Saks or something [% laugh] ? ,,,,,,
*FRAN:,&=laugh &=laugh &=laugh ⌈ &=laugh ⌉ ⌈2 &=laugh &=in ⌉2 . ,,,,,,
*BERN:,                        ⌊ &=laugh ⌋ ⌊2 &=laugh ⌋2 . ,,,,,,
*ALIC:,                                    ⌊2 Grand Central ⌋2 Station pro⌈3bably ⌉3 . ,,,,,,
*FRAN:,                                                                   ⌊3 Oh ⌋3 ⌈4 Grand Central ⌉4 . ,,,,,,
*BERN:,                                                                            ⌊4 &{l=F &=laugh &=laugh &=laugh &}l=F ⌋4 . ,,,,,,
*ALIC:,                                                                            ⌊4 &{l=F &=laugh &=laugh &=laugh ⌋4 &=laugh &}l=F ⌈5 &=laugh ⌉5 . ,,,,,,
*FRAN:,                                                                                                                              ⌊5 Oh ⌋5 ,,,,,,
,I'm guilty . ,,,,,,
*FRAN:,Grand Central . ,,,,,,
*FRAN:,I had a client in the office building next to ⌈ Grand ⌉ Central . ,,,,,,
*ALIC:,                                              ⌊ &=laugh ⌋ . ,,,,,,
*FRAN:,and I used to get in there and muscle ⌈2 people &{l=@ in front of me &}l=@ ⌉2 . ,,,,,,
*ALIC:,                                      ⌊2 It's impossible ⌋2 . ,,,,,,
*FRAN:,&{l=@ Yeah really &}l=@ . ,,,,,,
*FRAN:,&=laugh &=in . ,,,,,,
*ALIC:,(.) &=in ⌈ I've always ⌉ +... ,,,,,,
*FRAN:,         ⌊ Cause it's an ⌋ ,,,,,,
,a constant flow . ,,,,,,
*ALIC:,(.) It's horrible . ,,,,,,
*BERN:,New Yorker's are +/. ,,,,,,
*BERN:,Yeah . ,,,,,,
*BERN:,It's +/. ,,,,,,
*BERN:,(.) You're in a hurry ,,,,,,
,you're in a rush ,,,,,,
,and you learn to be a little assertive . ,,,,,,
*FRAN:,(..) Yeah: . ,,,,,,
*BERN:,(..) Or is it aggressive . ,,,,,,
*SEAN:,(..) ⌈ Um . ,,,,,,
*FRAN:,     ⌊ Well it's ⌋ +... ,,,,,,
*SEAN:,who would ⌉ ⌈2 like what ⌉2 to drink with dinner . ,,,,,,
*ALIC:,            ⌊2 &=laugh &=laugh ⌋2 ,,,,,,
,It's ballistic . ,,,,,,
*SEAN:,(.) Here's the choices . ,,,,,,
*ALIC:,&{l=X I ⌈ have ⌉ &}l=X +... ,,,,,,
*SEAN:,        ⌊ Min⌋eral water: ,,,,,,
,(..) root beer: ,,,,,,
,(..) diet soda: ,,,,,,
,(..) or: um:: ,,,,,,
,(..) kinda strawberry (.) so- (.) ⌈ (.) soda ⌉ . ,,,,,,
*ALIC:,                                  ⌊ How about regular ⌋ ⌈2 water ⌉2 . ,,,,,,
*FRAN:,                                                        ⌊2 &{l=X I think &}l=X ⌋2 re- u:m ,,,,,,
,(..) mineral water is: what ⌈3 I want ⌉3 . ,,,,,,
*SEAN:,                            ⌊3 Okay ⌋3 . ,,,,,,
*ALIC:,                            ⌊3 Regular ⌋3 water ,,,,,,
,do you have ⌈4 that ⌉4 ? ,,,,,,
*SEAN:,            ⌊4 Yep ⌋4 . ,,,,,,
*SEAN:,Oh we have lots of that . ,,,,,,
*FRAN:,(..) Sean ,,,,,,
,I'm looking at all the paintings around ,,,,,,
,it's wonderful (.) to see your work ,,,,,,
,uh: . ,,,,,,
*SEAN:,Thank you . ,,,,,,
*FRAN:,(..) I particularly like this one . ,,,,,,
*FRAN:,(..) There's something ,,,,,,
,(..) that makes it ,,,,,,
,(..) That (..) feels almost Japanese about it . ,,,,,,
*SEAN:,(..) ⌈ What ⌉ ? ,,,,,,
*ALIC:,     ⌊ &{l=X Whole yea⌋:r &}l=X . ,,,,,,
*FRAN:,(..) This almost feels Japanese . ,,,,,,
*SEAN:,(..) &=in &=lengthened ,,,,,,
,(..) Oh ,,,,,,
,that one goes with +/. ,,,,,,
*SEAN:,(.) That's um: ,,,,,,
,(..) u:m ,,,,,,
,(.) &{l=P God XXXXX &}l=P ,,,,,,
,(..) Isis and Osiris . ,,,,,,
*SEAN:,Osiris . ,,,,,,
*FRAN:,(.) Mm . ,,,,,,
*SEAN:,and ,,,,,,
,and ,,,,,,
,(.) with his fourteen pieces (..) cut up ,,,,,,
,a:nd Isis . ,,,,,,
*FRAN:,(..) Mm: . ,,,,,,
*SEAN:,(..) But there is a Japanese ,TI,T4,TI,T4,MATCH,
,because this ,,,,,,
,&=in (.) These were um ,,,,,,
,(..) ⌈ old temple hang⌉ings . ,,,,,,
*FRAN:,     ⌊ XX ⌋ ? ,,,,,,
*FRAN:,(..) Oh . ,,,,,,
*SEAN:,(.) That I c- uh that I cut up . ,,,,,,
*FRAN:,(.) Okay . ,,,,,,
*SEAN:,(..) Yep . ,,,,,,
*ALIC:,(..) Oh wow . ,,,,,,
*ALIC:,&{l=P &{l=X That's good &}l=X &}l=P . ,,,,,,
*FRAN:,(..) You cut up the temple hanging you ⌈ bar⌉⌈2bar⌉2⌈3ian ⌉3 ? ,,,,,,
*BERN:,                                       ⌊ They were ⌋ +... ,,,,,,
*SEAN:,                                             ⌊2 Well ⌋2 +... ,,,,,,
*BERN:,                                             ⌊2 They s⌋2⌊3tarted ⌋3 falling ⌈4 apart ⌉4 . ,,,,,,
*SEAN:,                                                                            ⌊4 They had ⌋4 ⌈5 fallen ⌉5 apart Fran . ,,,,,,
*FRAN:,                                                                            ⌊4 &=laugh &=laugh ⌋4 ⌊5 &=laugh &=laugh ⌋5 ,,,,,,
,&=laugh &=laugh &=laugh &=laugh &=laugh ,,,,,,
,(.) &=in ⌈ You ac⌉tually sa:ved them . ,,,,,,
*SEAN:,         ⌊ I X ⌋ +... ,,,,,,
*ALIC:,(.) ⌈2 &{l=X Right &}l=X ⌉2 . ,,,,,,
*BERN:,    ⌊2 Yes ⌋2 . ,,,,,,
*SEAN:,(.) I had tried to- +/. ,,,,,,
*SEAN:,(.) I have em (.) in some pillows ,,,,,,
,and the pillows had finally had it ,,,,,,
,&=in and I thought ,,,,,,
,(..) you know: ,,,,,,
,(..) this is it . ,,,,,,
*FRAN:,(..) Yeah . ,,,,,,
*ALIC:,(..) Recycling . ,,,,,,
*ALIC:,(.) Yes . ,,,,,,
*FRAN:,(..) Now Bernard ,,,,,,
,some of your work is around too . ,,,,,,
*BERN:,(.) Well there's a couple ⌈ sculptures here ⌉ . ,,,,,,
*SEAN:,                          ⌊ Those heads ⌋ . ,,,,,,
*FRAN:,⌈2 Yes I see⌉2⌈3: . ,,,,,,
*SEAN:,⌊2 they're Bernard's ⌋2 . ,,,,,,
*ALIC:,              ⌊3 I love this ⌋3 . ,,,,,,
*FRAN:,(.) Y⌉3es ,,,,,,
,They're won⌈4derful ⌉4 . ,,,,,,
*ALIC:,           ⌊4 &{l=X I love ⌋4 that &}l=X . ,,,,,,
*FRAN:,(..) &=in You know Bernard ,,,,,,
,I hope you aren't disappointed when you go to pick up those two bits ,,,,,,
,that are (.) left ,,,,,,
,of the sculp⌈ture ⌉ . ,,,,,,
*BERN:,            ⌊ I ⌋ won't be . ,,,,,,
*FRAN:,(.) You know ,,,,,,
,but ,UI,T4,UI,T1,UNMATCH,T4
,(.) they'll be nice yard orna⌈ments: ⌉ . ,,,,,,
*BERN:,                             ⌊ Sure ⌋ . ,,,,,,
*BERN:,(..) ⌈2 And ⌉2 +... ,,,,,,
*SEAN:,     ⌊2 What do you ⌋2 want to drink Bernard . ,,,,,,
*BERN:,(..) I'm gonna have water also . ,,,,,,
*BERN:,(..) &{l=P &{l=X But &}l=X &}l=P +... ,TF,I2,TF,I2,MATCH,
*SEAN:,(..) Fizz⌈y or ⌉ . ,,,,,,
*ALIC:,         ⌊ Well how lo⌋:ng +/. ,,,,,,
*ALIC:,(..) ⌈2 When are you gonna ⌉2 be here ⌈3 &{l=X till &}l=X ⌉3 . ,,,,,,
*BERN:,     ⌊2 Fizzy ⌋2 . ,,,,,,
*SEAN:,                                      ⌊3 Okay ⌋3 . ,,,,,,
*FRAN:,(.) I'll be here till Wednesday . ,,,,,,
*ALIC:,(..) &{l=P Oh ,,,,,,
,just a few days &}l=P . ,,,,,,
*FRAN:,Well I've been here fo:r ,,,,,,
,(..) since +/. ,,,,,,
*FRAN:,I'll- I will have been here two full weeks . ,,,,,,
*FRAN:,(..) By the time I leave . ,,,,,,
*FRAN:,(..) U:m ,,,,,,
,but I've just been real busy with ,UI,T4,UI,T4,MATCH,
,with this chore I was (..) taking care of while I was here . ,,,,,,
*ALIC:,(..) Oh . ,,,,,,
*FRAN:,(..) So ,,,,,,
,(..) I was (.) emptying a storeroom ,,,,,,
,and shipping some things back east . ,,,,,,
*SEAN:,&=in (.) Her (.) her brother was Jerrod Laker ,,,,,,
,the one I took care o⌈f ⌉ ? ,,,,,,
*ALIC:,                     ⌊ Oh⌋: yeah . ,,,,,,
*SEAN:,(..) And she's (..) been (..) sending his things back . ,,,,,,
*SEAN:,He had- her brother had &{l=@ a lotta things &}l=@ . ,,,,,,
*SEAN:,⌈ &=in ⌉ . ,,,,,,
*FRAN:,⌊ Yeah ,,,,,,
,he ⌋ had a ⌈2 bunch of stuff ⌉2 . ,,,,,,
*ALIC:,           ⌊2 With +/. ,,,,,,
*ALIC:,He ⌋2 +/. ,,,,,,
*ALIC:,(.) He worked for um ,,,,,,
,(..) Benny Keller ? ,,,,,,
*SEAN:,⌈ Yeah ⌉ . ,,,,,,
*FRAN:,⌊ For y⌋ears . ,,,,,,
*FRAN:,⌈2 Yes: ⌉2 . ,,,,,,
*ALIC:,⌊2 Yeah I kne- ⌋2 +/. ,,,,,,
*ALIC:,I know him . ,,,,,,
*FRAN:,(..) Yeah . ,,,,,,
*ALIC:,I did . ,,,,,,
*FRAN:,(.) Yeah . ,,,,,,
*ALIC:,(..) That's your brother ? ,,,,,,
*FRAN:,Yeah . ,,,,,,
*ALIC:,(..) &{l=VOX Oh: no &}l=VOX . ,,,,,,
*FRAN:,(.) &{l=P Yeah &}l=P . ,,,,,,
*FRAN:,(..) &=in So: ,,,,,,
,hi:s little pri⌈vate collection ⌉ . ,,,,,,
*SEAN:,               ⌊ &{l=X can you open the &}l=X drawer ⌋ please . ,,,,,,
*ALIC:,S⌈2o- you⌉2⌈3:- I- ⌉3 +... ,,,,,,
*SEAN:, ⌊2 XX ⌋2 . ,,,,,,
*FRAN:,           ⌊3 I'm (.) ⌋3 s:ending back ,,,,,,
,and it sounds ,,,,,,
,(..) you know ,,,,,,
,to use the word collection sounds very ⌈ grand . ,,,,,,
*SEAN:,                                       ⌊ XX X ⌋ . ,,,,,,
*FRAN:,but it's ⌉ just real⌈2ly a ⌉2 bunch of . ,UI,T1,UI,T1,MATCH,
*SEAN:,                    ⌊2 X ⌋2 . ,,,,,,
*BERN:,⌈3 &{l=X put this in a plastic bag &}l=X ⌉3 . ,,,,,,
*ALIC:,⌊3 &{l=X His &}l=X personal stuff ⌋3 . ,,,,,,
*FRAN:,Yeah . ,,,,,,
*FRAN:,(.) ⌈ ʔYeah ⌉ . ,,,,,,
*ALIC:,    ⌊ He's your ⌋ (.) ⌈2 only: brother ⌉2 ? ,,,,,,
*SEAN:,                      ⌊2 &{l=X Is the whole ice box ⌋2 ⌈3 gonna smell &}l=X ⌉3 . ,,,,,,
*FRAN:,                                                       ⌊3 &=in Yes ,,,,,,
,and ⌋3 we were very close . ,,,,,,
*FRAN:,(..) So ,,,,,,
,(..) it was uh . ,,,,,,
*SEAN:,I have ⌈ a little one right here I think ⌉ . ,,,,,,
*FRAN:,       ⌊ sad &{l=X thing &}l=X for me ,,,,,,
,to lose him but ⌋ ,UI,T4,UI,T4,MATCH,
,(..) Sean is (.) marvellous . ,,,,,,
*FRAN:,(..) Looking after him . ,,,,,,
*FRAN:,(..) And a ⌈ fellow named Bob Butler al⌉so . ,,,FALSE,,,
*SEAN:,           ⌊ &{l=X How strong is this &}l=X ⌋ . ,,,,,,
*FRAN:,I don't ⌈2 know if you know ⌉2 . ,,,,,,
*ALIC:,        ⌊2 I know Bob ⌋2 . ,,,,,,
