@Begin,Script,Position1,Function1,Position2,Function2,MATCH,AGREEMENT
,(.) &{l=VOX God ,,,,,,
,is that what I think it is &}l=VOX ,,,,,,
,&=in And I walked over ,,,,,,
,and there it was ,,,,,,
,in Spanish ,,,,,,
,and the meeting schedule was painted on the &=in wa:ll and everything ,,,,,,
,&=in and it's right there by this (.) ⌈ most sacred ⌉ ⌈2 site ⌉2 . ,,,,,,
*ALIC:,                                      ⌊ Did you go to that meeting ⌋ ⌊2 Sean ⌋2 ? ,,,,,,
*BERN:,                                                      ⌊2 That's a⌋2mazing . ,,,,,,
*SEAN:,(.) I've never ⌈3 been there ⌉3 . ,,,,,,
*FRAN:,               ⌊3 Isn't that won⌋3derful ? ,,,,,,
*ALIC:,(.) &{l=P Oh you weren't ,,,,,,
,(..) Oh &}l=P . ,,,,,,
*SEAN:,(.) &{l=P No: &}l=P . ,,,,,,
*FRAN:,It was ⌈ great ⌉ . ,,,,,,
*BERN:,       ⌊ That i⌋⌈2:s ⌉2 . ,,,,,,
*SEAN:,&{l=P           ⌊2 I've ⌋2 ⌈3 never been to ⌉3 Merida &}l=P ? ,,,,,,
*FRAN:,                           ⌊3 Yeah ⌋3 . ,,,,,,
*BERN:,⌈4 Cause they have a l⌉4⌈5ot ⌉5 +... ,,,,,,
*FRAN:,⌊4 Right there by this ⌋4 ⌊5 s⌋5⌈6acred site ⌉6 . ,,,,,,
*ALIC:,                        ⌊5 &{l=P I ⌋5 ⌊6 thought you were &}l=P ⌋6 . ,,,,,,
*BERN:,(..) ⌈7 We were in Mexic⌉7⌈8o City ⌉8 . ,,,,,,
*SEAN:,     ⌊7 &{l=VOX No: &}l=VOX ⌋7 . ,,,,,,
*ALIC:,                          ⌊8 &{l=HI &{l=X Really &}l=X &}l=HI ⌋8 ? ,,,,,,
*BERN:,and it was hard to scrape up a meeting . ,,,,,,
*BERN:,(..) It was mostly Americans ,,,,,,
,that work for the . ,,,,,,
*SEAN:,(.) &{l=P Embassy &}l=P . ,,,,,,
*BERN:,CIA or ,,,,,,
,&{l=X Was +/. ,,,,,,
*BERN:,We we⌈re ⌉ &}l=X +... ,,,,,,
*SEAN:,     ⌊ Well ⌋ no . ,,,,,,
*SEAN:,They +/. ,,,,,,
*SEAN:,(..) In Mexico City ,,,,,,
,(..) there was always a Mexican meeting going on ,,,,,,
,(.) same time as an American (.) speak- (.) English speaking . ,,,,,,
*SEAN:,(..) English speaking was upstair⌈s . ,,,,,,
*BERN:,                                 ⌊ But it's harder ⌋ for them to be ⌈2 (.) alcoholic ⌉2 . ,TI,T4,TI,T1,UNMATCH,T4
*SEAN:,and ⌉ ,,,,,,
,                                                                  ⌊2 Spanish (.) ⌋2 people were downstairs . ,,,,,,
*FRAN:,(..) Why ,,,,,,
,they can't find booze [% laugh] ? ,,,,,,
*FRAN:,&{l=@ I mean what's the pro:blem &}l=@ . ,,,,,,
*FRAN:,&=laugh &=laugh &=laugh ⌈ &=laugh &=laugh ⌉ . ,,,,,,
*SEAN:,                        ⌊ No there ⌋ . ,,,,,,
*FRAN:,&=in &=lengthened ⌈2 &=lengthened &=laugh &=laugh ⌉2 ⌈3 &=laugh &=laugh &=in ⌉3 . ,,,,,,
*SEAN:,                  ⌊2 there was always ⌋2 +... ,,,,,,
*BERN:,                                                     ⌊3 No ,,,,,,
,it's ⌋3 th- harder for th- +/. ,,,,,,
*BERN:,Uh supposedly it's harder for them ,,,,,,
,It's +/. ,,,,,,
*BERN:,(..) It's so like ⌈ hard ⌉ i- +... ,,,,,,
*FRAN:,                  ⌊ To ⌋ +... ,,,,,,
*BERN:,It's (.) against their machismo ⌈2 to ⌉2 . ,,,,,,
*FRAN:,                                ⌊2 Oh of ⌋2 course . ,,,,,,
*BERN:,Ma⌈3chismo to be ⌉3 . ,,,,,,
*ALIC:,  ⌊3 Y- you know ,,,,,,
,at at ⌋3 gay AA meetings ,,,,,,
,do they have signers . ,,,,,,
*SEAN:,(..) Yes . ,,,,,,
*BERN:,(..) Some⌈times ⌉ . ,,,,,,
*FRAN:,         ⌊ They are ⌋ in New York now . ,,,,,,
*FRAN:,More ⌈2 and more ⌉2 . ,,,,,,
*SEAN:,     ⌊2 Yes ⌋2 . ,,,,,,
*BERN:,     ⌊2 Yeah they do ⌋2 this a lot . ,,,,,,
*BERN:,&=RUBBING_FINGERS ,,,,,,
,⌈ &=laugh ⌉ . ,,,,,,
*ALIC:,⌊ &=laugh ⌋ ⌈2 &=laugh &=laugh &=laugh &=in ⌉2 . ,,,,,,
*FRAN:,            ⌊2 &=laugh &=laugh &=laugh &=laugh &=in ⌋2 ,,,,,,
,That's a sign . ,,,,,,
*ALIC:,&=in ⌈ &=lengthened Yeah ⌉ . ,,,,,,
*BERN:,     ⌊ It [% laugh] certainly [% laugh] ⌋ ⌈2 i:s [% laugh] ⌉2 . ,,,,,,
*FRAN:,                                          ⌊2 &=laugh &=laugh &=laugh ⌋2 ⌈3 &=laugh &=laugh ⌉3 . ,,,,,,
*ALIC:,                                                                        ⌊3 &=laugh &=laugh ⌋3 . ,,,,,,
*BERN:,                                                                        ⌊3 &=laugh ⌋3 ⌈4 &=laugh &=laugh &=laugh &=laugh &=laugh ⌉4 . ,,,,,,
*FRAN:,                                                                                      ⌊4 &=laugh &=laugh &=laugh &=laugh &=laugh &=laugh ⌋4 . ,,,,,,
*X:,⌈5 &{l=X Yes &}l=X ⌉5 . ,,,,,,
*SEAN:,⌊5 About a ⌋5 year ago we had a lo:t . ,,,,,,
*SEAN:,(..) And they sort of a:ll . ,,,,,,
*BERN:,(..) Went to ⌈ different meeting⌉s . ,,,,,,
*SEAN:,             ⌊ disappeared ⌋ . ,,,,,,
*SEAN:,(..) &{l=X It's a har- to- &}l=X +/. ,,,,,,
*SEAN:,(.) Oh I think it would be hard . ,,,,,,
*ALIC:,(..) What ,,,,,,
,           ⌊ signing ⌋ ? ,,,,,,
*FRAN:,             ⌊ Well there are a ⌋ few ,,,,,,
,and ⌈2 there's a ⌉2 +... ,,,,,,
*SEAN:,    ⌊2 Signing ⌋2 . ,,,,,,
*FRAN:,(..) There a:re a ⌈3 couple of deaf meetings ⌉3 . ,,,,,,
*ALIC:,                  ⌊3 XXXX always at gay things ⌋3 . ,,,,,,
