speaker,script,position1,function1,position2,function2,match,agreement,corpus
*FRAN:,Well I went to this church,,,,,,,sbcsae
,and this is very interesting,,,,,,,sbcsae
*SEAN:,This is in Meridia,,,,,,,sbcsae
*FRAN:,Merida,,,,,,,sbcsae
*SEAN:,Merida,,,,,,,sbcsae
*FRAN:,In the Yucatan,,,,,,,sbcsae
*SEAN:,That's right,,,,,,,sbcsae
*FRAN:,And it's lovely,,,,,,,sbcsae
*FRAN:,The people are uh sweet and nice,,,,,,,sbcsae
,they're little,,,,,,,sbcsae
,they're dark,,,,,,,sbcsae
,they all wear white,,,,,,,sbcsae
,and the city is quite nice,,,,,,,sbcsae
*FRAN:,It's a very manageable size,,,,,,,sbcsae
*FRAN:,Merida,,,,,,,sbcsae
*FRAN:,You can uh,,,,,,,sbcsae
*SEAN:,Unhunh,,,,,,,sbcsae
*FRAN:,You know,,,,,,,sbcsae
,walk around a lot,,,,,,,sbcsae
*SEAN:,Walk everywhere,,,,,,,sbcsae
*FRAN:,and,,,,,,,sbcsae
,you know,,,,,,,sbcsae
,i i it's really lovely,,,,,,,sbcsae
*FRAN:,And,,,,,,,sbcsae
,uh,,,,,,,sbcsae
,anyway I wen,,,,,,,sbcsae
*FRAN:,And th,,,,,,,sbcsae
*FRAN:,And the twine makers,,,,,,,sbcsae
,the jute industry was very big there at one time,,,,,,,sbcsae
*FRAN:,And the cemetery,,,,,,,sbcsae
,there's a,,,,,,,sbcsae
,there was,,,,,,,sbcsae
,I don't know if it was called a labor union,,,,,,,sbcsae
*FRAN:,But some kind of association,UI,T4,UI,T3,UNMATCH,T3,sbcsae
*FRAN:,Uh,,,,,,,sbcsae
,of twine makers,,,,,,,sbcsae
*FRAN:,Were,,,,,,,sbcsae
,uh,,,,,,,sbcsae
,buried together,,,,,,,sbcsae
,they had a section in the cemetery,,,,,,,sbcsae
*FRAN:,And carved in marble,,,,,,,sbcsae
,and then painted garish colors,,,,,,,sbcsae
,like aqua,,,,,,,sbcsae
,and yellow,,,,,,,sbcsae
,and everything,,,,,,,sbcsae
*FRAN:,But carved in stone is these ropes,UI,T4,UI,T4,MATCH,T4,sbcsae
,all around the,,,,,,,sbcsae
,the various graves,,,,,,,sbcsae
,and great knots and things,,,,,,,sbcsae
*FRAN:,And,,,,,,,sbcsae
*FRAN:,But it all carved in stone,UI,T4,UI,T4,MATCH,T4,sbcsae
,and then painted,,,,,,,sbcsae
,your basic Mexican house paint,,,,,,,sbcsae
*FRAN:,You know all those colors,,,,,,,sbcsae
*SEAN:,Yeah,,,,,,,sbcsae
*FRAN:,Yellow,,,,,,,sbcsae
*SEAN:,Nice bright,,,,,,,sbcsae
*FRAN:,and a qua,,,,,,,sbcsae
,and pink,,,,,,,sbcsae
,and,,,,,,,sbcsae
,you know,,,,,,,sbcsae
*SEAN:,Nice bright colors,,,,,,,sbcsae
